band    switch_water    lower_water     upper_water     switch_land     lower_land      upper_land      wavelength        E0
1       1       1       2       1       1       2       412.5   1713.6920166
2       1       1       3       1       1       3       442.5   1877.5660400
3       1       2       4       1       2       4       490     1929.2629395
4       1       3       5       1       3       5       510     1926.8909912
5       1       4       6       1       4       6       560     1800.4580078
6       1       5       7       1       5       7       620     1649.7049561
7       1       6       9       1       6       9       665     1530.9270020
8       0       7       9       1       7       9       681.25  1470.2290039
9       1       8       9       1       8       9       708.75  1405.4739990
10      1       10      12      1       10      12      753.75  1266.1999512
11      0       10      12      0       10      12      761.875 1253.0040283
12      1       10      12      1       10      12      778.75  1175.7370605
13      1       13      14      1       13      14      865     958.76300049
14      1       13      14      1       13      14      885     929.78601074
15      0       13      14      0       13      14      900     895.46002197
