#
#  GF1/WFV4 RSR
#
#  from Rugang Tang Excel files
#
#  Tabulated QV 2019-03-05
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
400	0.00044512
401	0.00038152
402	0.00037322
403	0.00037598
404	0.00042712
405	0.00048929
406	0.00062745
407	0.00065592
408	0.00068811
409	0.0007307
410	0.00077039
411	0.00084854
412	0.00098506
413	0.00093595
414	0.00095979
415	0.00092901
416	0.0009976
417	0.00098693
418	0.0011242
419	0.0012388
420	0.0013451
421	0.0014967
422	0.0015484
423	0.0016643
424	0.0016541
425	0.0020055
426	0.0020667
427	0.0022209
428	0.0024557
429	0.0026146
430	0.002831
431	0.0029647
432	0.0033969
433	0.0038908
434	0.0048221
435	0.0056476
436	0.0072906
437	0.0087138
438	0.010888
439	0.013034
440	0.016046
441	0.019231
442	0.024102
443	0.029033
444	0.037545
445	0.04603
446	0.061085
447	0.074742
448	0.099834
449	0.12228
450	0.16382
451	0.201
452	0.26466
453	0.31862
454	0.40504
455	0.46734
456	0.55851
457	0.61978
458	0.69307
459	0.74007
460	0.77487
461	0.8157
462	0.83804
463	0.85627
464	0.86671
465	0.87786
466	0.88427
467	0.89728
468	0.90834
469	0.92107
470	0.93339
471	0.94708
472	0.9565
473	0.96165
474	0.96546
475	0.96737
476	0.96427
477	0.96259
478	0.96586
479	0.96621
480	0.97446
481	0.98147
482	0.98885
483	0.99624
484	0.99977
485	1
486	0.99429
487	0.9882
488	0.98499
489	0.9771
490	0.97317
491	0.97265
492	0.97735
493	0.97496
494	0.97939
495	0.9801
496	0.97916
497	0.97647
498	0.97058
499	0.96394
500	0.95237
501	0.94278
502	0.92914
503	0.91744
504	0.89881
505	0.88327
506	0.85654
507	0.82846
508	0.78389
509	0.74275
510	0.67298
511	0.61692
512	0.52565
513	0.45768
514	0.36236
515	0.29851
516	0.21881
517	0.17104
518	0.11659
519	0.087247
520	0.056498
521	0.042305
522	0.029836
523	0.024745
524	0.020809
525	0.019316
526	0.01823
527	0.016854
528	0.015714
529	0.013933
530	0.012621
531	0.010667
532	0.0092694
533	0.0075442
534	0.0064488
535	0.00508
536	0.0042843
537	0.0033513
538	0.0027996
539	0.0021761
540	0.0018318
541	0.0014332
542	0.0012218
543	0.00098191
544	0.00083914
545	0.0006923
546	0.00060574
547	0.0005094
548	0.00045776
549	0.00039399
550	0.00035604
551	0.00031421
552	0.00028373
553	0.00024832
554	0.00022561
555	0.00019537
556	0.00017528
557	0.00015017
558	0.00013304
559	0.00011193
560	0.00009844
561	0.000080327
562	0.000069584
563	0.000056806
564	0.000048852
565	0.000039574
566	0.000033759
567	0.000026699
568	0.000022797
569	0.000018409
570	0.000015744
571	0.00001301
572	0.000011665
573	0.000010071
574	9.39E-06
575	8.81E-06
576	8.50E-06
577	8.70E-06
578	0.000009123
579	9.77E-06
580	0.000010666
581	0.000011706
582	0.000012416
583	0.000013605
584	0.000014355
585	0.000016
586	0.000017149
587	0.00001852
588	0.000019139
589	0.000019783
590	0.000019846
591	0.000019672
592	0.000019025
593	0.000018609
594	0.000017656
595	0.000016881
596	0.000015433
597	0.00001431
598	0.00001244
599	0.000011306
600	9.98E-06
601	0.000008858
602	7.81E-06
603	6.93E-06
604	5.86E-06
605	5.30E-06
606	4.56E-06
607	3.94E-06
608	3.09E-06
609	0.000002687
610	2.15E-06
611	1.88E-06
612	1.57E-06
613	1.46E-06
614	1.19E-06
615	1.09E-06
616	1.01E-06
617	1.04E-06
618	1.26E-06
619	1.56E-06
620	2.15E-06
621	2.74E-06
622	3.58E-06
623	4.27E-06
624	5.15E-06
625	5.63E-06
626	6.11E-06
627	6.27E-06
628	0.000006149
629	5.82E-06
630	0.000005442
631	5.08E-06
632	4.36E-06
633	4.19E-06
634	0.000003717
635	3.66E-06
636	3.39E-06
637	3.39E-06
638	3.25E-06
639	3.33E-06
640	3.14E-06
641	3.16E-06
642	0.000002749
643	2.84E-06
644	2.97E-06
645	2.68E-06
646	2.81E-06
647	2.68E-06
648	3.12E-06
649	2.83E-06
650	2.99E-06
651	2.97E-06
652	2.50E-06
653	2.50E-06
654	2.55E-06
655	2.54E-06
656	2.39E-06
657	2.46E-06
658	2.48E-06
659	2.33E-06
660	2.40E-06
661	2.22E-06
662	1.87E-06
663	2.09E-06
664	1.97E-06
665	0.00000208
666	1.86E-06
667	1.68E-06
668	1.75E-06
669	1.64E-06
670	1.42E-06
671	1.52E-06
672	0.000001365
673	1.48E-06
674	1.21E-06
675	1.18E-06
676	1.13E-06
677	1.02E-06
678	1.11E-06
679	8.80E-07
680	9.05E-07
681	8.53E-07
682	8.93E-07
683	9.41E-07
684	8.83E-07
685	7.50E-07
686	7.32E-07
687	6.70E-07
688	7.55E-07
689	5.99E-07
690	6.83E-07
691	6.06E-07
692	6.96E-07
693	6.04E-07
694	6.98E-07
695	7.25E-07
696	6.74E-07
697	5.81E-07
698	6.29E-07
699	6.24E-07
700	5.52E-07
701	6.81E-07
702	6.29E-07
703	6.85E-07
704	6.13E-07
705	7.73E-07
706	7.08E-07
707	7.09E-07
708	8.29E-07
709	6.98E-07
710	7.79E-07
711	1.18E-06
712	9.32E-07
713	1.19E-06
714	1.36E-06
715	1.39E-06
716	1.44E-06
717	1.49E-06
718	1.76E-06
719	1.93E-06
720	2.09E-06
721	2.75E-06
722	2.78E-06
723	3.27E-06
724	4.38E-06
725	4.58E-06
726	5.82E-06
727	6.80E-06
728	8.24E-06
729	9.55E-06
730	0.000012241
731	0.000014434
732	0.000018862
733	0.000021088
734	0.000026143
735	0.000029384
736	0.000031757
737	0.000031795
738	0.000030509
739	0.000027758
740	0.000024411
741	0.000020506
742	0.000018182
743	0.000014703
744	0.000012993
745	0.000011022
746	0.000010043
747	8.33E-06
748	7.18E-06
749	6.54E-06
750	5.85E-06
751	5.36E-06
752	5.33E-06
753	4.89E-06
754	4.57E-06
755	0.000004055
756	3.98E-06
757	3.72E-06
758	4.02E-06
759	3.39E-06
760	4.12E-06
761	0.000003173
762	3.49E-06
763	3.06E-06
764	3.39E-06
765	3.78E-06
766	3.58E-06
767	3.41E-06
768	4.25E-06
769	3.68E-06
770	4.50E-06
771	4.41E-06
772	4.66E-06
773	5.09E-06
774	4.55E-06
775	0.000004617
776	5.30E-06
777	6.16E-06
778	5.63E-06
779	6.22E-06
780	6.35E-06
781	0.000006657
782	7.77E-06
783	9.18E-06
784	8.73E-06
785	8.27E-06
786	9.49E-06
787	0.000011825
788	0.000011687
789	0.00001228
790	0.000013138
791	0.00001578
792	0.00001615
