# GOES17_ABI RSR
# QV 2025-06-04 from ABI-16-045_FM2_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# TIR bands
# GOES17_ABI Band CH390
# -------------------
3.691672 0.002008
3.691808 0.002033
3.691944 0.002046
3.69208 0.002045
3.692217 0.00203
3.692353 0.002003
3.696994 0.002061
3.697131 0.002143
3.697268 0.00225
3.697404 0.002371
3.697541 0.002492
3.697678 0.002601
3.697815 0.002683
3.697951 0.002727
3.698088 0.002728
3.698225 0.002715
3.698362 0.002697
3.698498 0.002675
3.698635 0.002655
3.698772 0.002634
3.698909 0.002612
3.699046 0.002595
3.699182 0.002578
3.699319 0.002562
3.699456 0.002547
3.699593 0.002533
3.69973 0.002523
3.699867 0.002516
3.700004 0.002513
3.700141 0.002532
3.700278 0.002565
3.700414 0.002617
3.700551 0.00268
3.700688 0.002742
3.700825 0.002792
3.700962 0.002818
3.701099 0.002816
3.701236 0.002806
3.701373 0.002791
3.70151 0.00277
3.701647 0.002744
3.701784 0.002713
3.701921 0.00268
3.702058 0.002645
3.702195 0.002602
3.702332 0.002552
3.70247 0.002497
3.702607 0.002441
3.702744 0.002387
3.702881 0.002338
3.703018 0.002295
3.703155 0.00226
3.703292 0.00223
3.703429 0.002199
3.703567 0.002169
3.703704 0.002144
3.703841 0.002127
3.703978 0.00212
3.704115 0.002133
3.704252 0.002177
3.70439 0.002244
3.704527 0.002326
3.704664 0.002414
3.704801 0.002499
3.704939 0.002573
3.705076 0.002629
3.705213 0.002677
3.705351 0.002725
3.705488 0.002773
3.705625 0.002818
3.705762 0.002856
3.7059 0.002886
3.706037 0.002906
3.706174 0.002919
3.706312 0.00293
3.706449 0.002939
3.706587 0.002948
3.706724 0.002956
3.706861 0.002964
3.706999 0.002975
3.707136 0.002986
3.707274 0.002997
3.707411 0.00301
3.707549 0.003025
3.707686 0.003044
3.707824 0.003068
3.707961 0.003097
3.708098 0.00316
3.708236 0.003301
3.708374 0.003515
3.708511 0.003762
3.708649 0.004005
3.708786 0.004206
3.708924 0.004329
3.709061 0.00434
3.709199 0.004282
3.709336 0.004195
3.709474 0.004082
3.709612 0.003956
3.709749 0.003814
3.709887 0.003669
3.710024 0.003534
3.710162 0.003398
3.7103 0.003257
3.710437 0.003116
3.710575 0.002983
3.710713 0.002864
3.710851 0.002764
3.710988 0.002691
3.711126 0.002649
3.711264 0.002614
3.711401 0.002579
3.711539 0.002549
3.711677 0.002524
3.711815 0.002508
3.711952 0.002499
3.71209 0.002521
3.712228 0.002625
3.712366 0.002773
3.712504 0.002924
3.712642 0.003089
3.712779 0.00328
3.712917 0.00346
3.713055 0.003596
3.713193 0.003715
3.713331 0.003825
3.713469 0.003926
3.713607 0.004018
3.713745 0.0041
3.713882 0.004172
3.71402 0.004232
3.714158 0.004276
3.714296 0.004318
3.714434 0.004356
3.714572 0.004385
3.71471 0.004413
3.714848 0.004436
3.714986 0.004446
3.715124 0.004421
3.715262 0.004348
3.7154 0.004252
3.715538 0.004157
3.715676 0.004083
3.715815 0.004009
3.715953 0.003958
3.716091 0.00398
3.716229 0.004104
3.716367 0.004297
3.716505 0.004525
3.716643 0.004752
3.716781 0.004942
3.716919 0.005059
3.717058 0.005079
3.717196 0.005076
3.717334 0.005071
3.717472 0.005063
3.71761 0.005052
3.717749 0.005038
3.717887 0.00502
3.718025 0.004995
3.718163 0.004898
3.718301 0.004724
3.71844 0.004514
3.718578 0.004306
3.718716 0.004141
3.718855 0.004027
3.718993 0.003959
3.719131 0.004004
3.71927 0.004129
3.719408 0.004302
3.719546 0.004489
3.719685 0.004659
3.719823 0.004777
3.719961 0.00484
3.7201 0.004841
3.720238 0.004826
3.720377 0.0048
3.720515 0.004765
3.720653 0.004723
3.720792 0.00468
3.72093 0.004639
3.721069 0.004602
3.721207 0.004562
3.721346 0.00452
3.721484 0.004479
3.721623 0.004444
3.721761 0.004417
3.7219 0.004403
3.722038 0.004399
3.722177 0.004401
3.722315 0.004405
3.722454 0.00441
3.722592 0.004415
3.722731 0.004422
3.72287 0.004432
3.723008 0.004446
3.723147 0.004474
3.723285 0.004518
3.723424 0.004574
3.723563 0.004648
3.723701 0.004737
3.72384 0.004837
3.723979 0.004946
3.724117 0.005066
3.724256 0.005207
3.724395 0.005365
3.724534 0.005536
3.724672 0.005715
3.724811 0.005898
3.72495 0.006082
3.725088 0.006276
3.725227 0.006488
3.725366 0.006709
3.725505 0.006936
3.725644 0.007166
3.725782 0.007395
3.725921 0.00762
3.72606 0.007838
3.726199 0.008051
3.726338 0.008258
3.726477 0.008463
3.726615 0.008666
3.726754 0.008865
3.726893 0.009055
3.727032 0.009235
3.727171 0.009412
3.72731 0.009587
3.727449 0.009755
3.727588 0.009913
3.727727 0.010058
3.727866 0.010186
3.728005 0.010288
3.728144 0.010358
3.728283 0.010416
3.728422 0.01047
3.728561 0.010519
3.7287 0.010565
3.728839 0.010606
3.728978 0.010644
3.729117 0.010677
3.729256 0.010705
3.729395 0.01073
3.729534 0.010753
3.729673 0.010775
3.729812 0.010794
3.729952 0.010811
3.730091 0.010823
3.73023 0.010833
3.730369 0.010841
3.730508 0.010851
3.730647 0.01086
3.730786 0.01087
3.730926 0.010882
3.731065 0.010899
3.731204 0.010927
3.731343 0.010962
3.731483 0.011008
3.731622 0.011062
3.731761 0.011123
3.7319 0.011191
3.73204 0.011264
3.732179 0.011352
3.732318 0.011453
3.732457 0.011564
3.732597 0.011689
3.732736 0.011825
3.732875 0.011969
3.733015 0.012116
3.733154 0.012274
3.733294 0.012442
3.733433 0.012617
3.733572 0.012797
3.733712 0.012983
3.733851 0.013175
3.733991 0.013372
3.73413 0.013578
3.734269 0.013795
3.734409 0.014015
3.734548 0.01424
3.734688 0.01447
3.734827 0.014702
3.734967 0.01493
3.735106 0.015154
3.735246 0.015375
3.735385 0.015595
3.735525 0.015814
3.735664 0.016033
3.735804 0.016251
3.735944 0.016467
3.736083 0.01668
3.736223 0.016891
3.736362 0.017102
3.736502 0.017311
3.736642 0.01752
3.736781 0.017727
3.736921 0.017934
3.73706 0.018141
3.7372 0.018345
3.73734 0.018548
3.737479 0.018752
3.737619 0.018958
3.737759 0.019164
3.737899 0.019373
3.738038 0.019586
3.738178 0.019805
3.738318 0.020028
3.738458 0.020253
3.738597 0.020477
3.738737 0.020703
3.738877 0.02093
3.739017 0.021156
3.739156 0.021383
3.739296 0.021611
3.739436 0.021838
3.739576 0.022065
3.739716 0.022291
3.739856 0.022516
3.739996 0.022739
3.740135 0.022961
3.740275 0.023181
3.740415 0.023399
3.740555 0.023617
3.740695 0.023833
3.740835 0.024047
3.740975 0.02426
3.741115 0.024472
3.741255 0.024683
3.741395 0.024893
3.741535 0.025102
3.741675 0.02531
3.741815 0.025518
3.741955 0.025724
3.742095 0.025928
3.742235 0.026129
3.742375 0.026328
3.742515 0.026526
3.742655 0.026726
3.742795 0.026929
3.742935 0.027136
3.743075 0.027349
3.743215 0.027567
3.743356 0.027788
3.743496 0.028014
3.743636 0.028243
3.743776 0.028476
3.743916 0.028716
3.744056 0.028967
3.744196 0.029226
3.744337 0.029489
3.744477 0.029755
3.744617 0.030026
3.744757 0.030302
3.744898 0.030584
3.745038 0.030875
3.745178 0.031168
3.745318 0.031463
3.745459 0.031762
3.745599 0.032067
3.745739 0.032381
3.74588 0.032707
3.74602 0.033046
3.74616 0.033406
3.746301 0.033785
3.746441 0.034177
3.746581 0.034578
3.746722 0.034981
3.746862 0.035392
3.747002 0.035815
3.747143 0.036264
3.747283 0.036724
3.747424 0.037194
