# GOES18_ABI RSR
# QV 2025-06-04 from ABI-16-046_FM3_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# VSWIR bands
# GOES18_ABI Band CH047
# -------------------
0.442791 0.002026
0.442811 0.002064
0.442831 0.002104
0.44285 0.002145
0.44287 0.002188
0.442889 0.002231
0.442909 0.002276
0.442929 0.002321
0.442948 0.002368
0.442968 0.002417
0.442988 0.002466
0.443007 0.002516
0.443027 0.002568
0.443046 0.002621
0.443066 0.002675
0.443086 0.00273
0.443105 0.002787
0.443125 0.002844
0.443145 0.002903
0.443164 0.002963
0.443184 0.003024
0.443203 0.003086
0.443223 0.00315
0.443243 0.003214
0.443262 0.00328
0.443282 0.003346
0.443302 0.003414
0.443321 0.003483
0.443341 0.003553
0.443361 0.003624
0.44338 0.003696
0.4434 0.003769
0.44342 0.003843
0.443439 0.003918
0.443459 0.003994
0.443479 0.004071
0.443498 0.004149
0.443518 0.004228
0.443538 0.004308
0.443557 0.004389
0.443577 0.004471
0.443597 0.004553
0.443616 0.004637
0.443636 0.004722
0.443656 0.004807
0.443675 0.004894
0.443695 0.004981
0.443715 0.00507
0.443734 0.005161
0.443754 0.005254
0.443774 0.00535
0.443794 0.005448
0.443813 0.005549
0.443833 0.005653
0.443853 0.00576
0.443872 0.005869
0.443892 0.005982
0.443912 0.006098
0.443931 0.006217
0.443951 0.00634
0.443971 0.006466
0.443991 0.006595
0.44401 0.006728
0.44403 0.006863
0.44405 0.007001
0.444069 0.007142
0.444089 0.007285
0.444109 0.007431
0.444129 0.007579
0.444148 0.00773
0.444168 0.007884
0.444188 0.008041
0.444208 0.0082
0.444227 0.008362
0.444247 0.008527
0.444267 0.008694
0.444286 0.008865
0.444306 0.009038
0.444326 0.009214
0.444346 0.009393
0.444365 0.009576
0.444385 0.009761
0.444405 0.009949
0.444425 0.01014
0.444444 0.010334
0.444464 0.010531
0.444484 0.010731
0.444504 0.010934
0.444523 0.011141
0.444543 0.01135
0.444563 0.011563
0.444583 0.011779
0.444603 0.011998
0.444622 0.012221
0.444642 0.012447
0.444662 0.012676
0.444682 0.012908
0.444701 0.013144
0.444721 0.013383
0.444741 0.013626
0.444761 0.013872
0.444781 0.014121
0.4448 0.014374
0.44482 0.014636
0.44484 0.014913
0.44486 0.015204
0.444879 0.015509
0.444899 0.01583
0.444919 0.016164
0.444939 0.016513
0.444959 0.016877
0.444978 0.017255
0.444998 0.017647
0.445018 0.018054
0.445038 0.018474
0.445058 0.018907
0.445077 0.019353
0.445097 0.019811
0.445117 0.020281
0.445137 0.020763
0.445157 0.021257
0.445177 0.021763
0.445196 0.022279
0.445216 0.022806
0.445236 0.023344
0.445256 0.023891
0.445276 0.024449
0.445295 0.025016
0.445315 0.025593
0.445335 0.026178
0.445355 0.026773
0.445375 0.027375
0.445395 0.027986
0.445414 0.028605
0.445434 0.029232
0.445454 0.029865
0.445474 0.030506
0.445494 0.031154
0.445514 0.031808
0.445534 0.032468
0.445553 0.033134
0.445573 0.033805
0.445593 0.034482
0.445613 0.035163
0.445633 0.03585
0.445653 0.036541
0.445673 0.037236
0.445692 0.037934
0.445712 0.038637
0.445732 0.039342
0.445752 0.040051
0.445772 0.040762
0.445792 0.041475
0.445812 0.042191
0.445831 0.042908
0.445851 0.043627
0.445871 0.044347
0.445891 0.045068
0.445911 0.045793
0.445931 0.046543
0.445951 0.047326
0.445971 0.048146
0.445991 0.04901
0.44601 0.049917
0.44603 0.050842
0.44605 0.051779
0.44607 0.052729
0.44609 0.053692
0.44611 0.054668
0.44613 0.055656
0.44615 0.056656
0.44617 0.057669
0.44619 0.058694
0.446209 0.05973
0.446229 0.060779
0.446249 0.061839
0.446269 0.062911
0.446289 0.063994
0.446309 0.065088
0.446329 0.066193
0.446349 0.06731
0.446369 0.068437
0.446389 0.069575
0.446409 0.070723
0.446429 0.071882
0.446449 0.073052
0.446468 0.074231
0.446488 0.075421
0.446508 0.07662
0.446528 0.077829
0.446548 0.079048
0.446568 0.080276
0.446588 0.081514
0.446608 0.082761
0.446628 0.084017
0.446648 0.085282
0.446668 0.086555
0.446688 0.087838
0.446708 0.089128
0.446728 0.090428
0.446748 0.091735
0.446768 0.093051
0.446788 0.094375
0.446808 0.095706
0.446828 0.097045
0.446847 0.098392
0.446867 0.099746
0.446887 0.101108
0.446907 0.102476
0.446927 0.103852
0.446947 0.105235
0.446967 0.106624
0.446987 0.10802
0.447007 0.109423
0.447027 0.110839
0.447047 0.112271
0.447067 0.113719
0.447087 0.115182
0.447107 0.116661
0.447127 0.118157
0.447147 0.119669
0.447167 0.121197
0.447187 0.122742
0.447207 0.124304
0.447227 0.125883
0.447247 0.12748
0.447267 0.129094
0.447287 0.130726
0.447307 0.132375
0.447327 0.134043
0.447347 0.135729
0.447367 0.137433
0.447387 0.139156
0.447407 0.140898
0.447427 0.142659
0.447447 0.14444
0.447467 0.146239
0.447487 0.148059
0.447507 0.149898
0.447527 0.151757
0.447547 0.153636
0.447567 0.155536
0.447588 0.157457
0.447608 0.159399
0.447628 0.16138
0.447648 0.163401
0.447668 0.165463
0.447688 0.167562
0.447708 0.169699
0.447728 0.171872
0.447748 0.174079
0.447768 0.176319
0.447788 0.178592
0.447808 0.180895
0.447828 0.183228
0.447848 0.185589
0.447868 0.187978
0.447888 0.190391
0.447908 0.19283
0.447928 0.195291
0.447948 0.197774
0.447968 0.200278
0.447989 0.202801
0.448009 0.205345
0.448029 0.207931
0.448049 0.210563
0.448069 0.213238
0.448089 0.215956
0.448109 0.218713
0.448129 0.221509
0.448149 0.224341
0.448169 0.227208
0.448189 0.230108
0.448209 0.233039
0.448229 0.235999
0.44825 0.238987
0.44827 0.242
0.44829 0.245037
