# QV 2022-02-24 from GeoEye-1_Relative_Spectral_Response.xls spreadsheet
#
#
#  GeoEye 1 Band PAN
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.350	0.000
0.351	0.000
0.352	0.000
0.353	0.000
0.354	0.000
0.355	0.000
0.356	0.000
0.357	0.000
0.358	0.000
0.359	0.000
0.360	0.000
0.361	0.000
0.362	0.000
0.363	0.000
0.364	0.000
0.365	0.000
0.366	0.000
0.367	0.000
0.368	0.000
0.369	0.000
0.370	0.000
0.371	0.000
0.372	0.000
0.373	0.000
0.374	0.000
0.375	0.000
0.376	0.000
0.377	0.000
0.378	0.000
0.379	0.000
0.380	0.000
0.381	0.000
0.382	0.000
0.383	0.000
0.384	0.000
0.385	0.000
0.386	0.000
0.387	0.000
0.388	0.000
0.389	0.000
0.390	0.000
0.391	0.000
0.392	0.000
0.393	0.000
0.394	0.000
0.395	0.000
0.396	0.000
0.397	0.000
0.398	0.000
0.399	0.000
0.400	0.000
0.401	0.000
0.402	0.000
0.403	0.000
0.404	0.000
0.405	0.000
0.406	0.000
0.407	0.000
0.408	0.000
0.409	0.000
0.410	0.000
0.411	0.000
0.412	0.000
0.413	0.000
0.414	0.000
0.415	0.000
0.416	0.000
0.417	0.000
0.418	0.000
0.419	0.000
0.420	0.000
0.421	0.000
0.422	0.000
0.423	0.000
0.424	0.000
0.425	0.000
0.426	0.000
0.427	0.000
0.428	0.000
0.429	0.000
0.430	0.000
0.431	0.000
0.432	0.000
0.433	0.000
0.434	0.000
0.435	0.000
0.436	0.000
0.437	0.000
0.438	0.000
0.439	0.001
0.440	0.001
0.441	0.002
0.442	0.002
0.443	0.003
0.444	0.004
0.445	0.005
0.446	0.037
0.447	0.070
0.448	0.103
0.449	0.135
0.450	0.168
0.451	0.266
0.452	0.365
0.453	0.463
0.454	0.561
0.455	0.660
0.456	0.672
0.457	0.685
0.458	0.698
0.459	0.711
0.460	0.724
0.461	0.728
0.462	0.732
0.463	0.735
0.464	0.739
0.465	0.743
0.466	0.747
0.467	0.751
0.468	0.754
0.469	0.758
0.470	0.762
0.471	0.763
0.472	0.764
0.473	0.766
0.474	0.767
0.475	0.768
0.476	0.762
0.477	0.756
0.478	0.750
0.479	0.744
0.480	0.738
0.481	0.739
0.482	0.740
0.483	0.742
0.484	0.743
0.485	0.744
0.486	0.740
0.487	0.737
0.488	0.733
0.489	0.729
0.490	0.725
0.491	0.733
0.492	0.740
0.493	0.748
0.494	0.756
0.495	0.764
0.496	0.761
0.497	0.759
0.498	0.757
0.499	0.754
0.500	0.752
0.501	0.764
0.502	0.775
0.503	0.787
0.504	0.799
0.505	0.810
0.506	0.814
0.507	0.818
0.508	0.822
0.509	0.826
0.510	0.830
0.511	0.820
0.512	0.810
0.513	0.800
0.514	0.790
0.515	0.780
0.516	0.787
0.517	0.795
0.518	0.802
0.519	0.809
0.520	0.816
0.521	0.826
0.522	0.835
0.523	0.845
0.524	0.854
0.525	0.864
0.526	0.857
0.527	0.851
0.528	0.845
0.529	0.839
0.530	0.832
0.531	0.841
0.532	0.849
0.533	0.857
0.534	0.866
0.535	0.874
0.536	0.871
0.537	0.868
0.538	0.866
0.539	0.863
0.540	0.860
0.541	0.852
0.542	0.845
0.543	0.837
0.544	0.829
0.545	0.822
0.546	0.829
0.547	0.836
0.548	0.844
0.549	0.851
0.550	0.859
0.551	0.860
0.552	0.862
0.553	0.863
0.554	0.865
0.555	0.866
0.556	0.863
0.557	0.861
0.558	0.858
0.559	0.855
0.560	0.853
0.561	0.865
0.562	0.877
0.563	0.889
0.564	0.901
0.565	0.913
0.566	0.910
0.567	0.906
0.568	0.903
0.569	0.899
0.570	0.896
0.571	0.895
0.572	0.894
0.573	0.893
0.574	0.892
0.575	0.891
0.576	0.898
0.577	0.905
0.578	0.911
0.579	0.918
0.580	0.925
0.581	0.924
0.582	0.924
0.583	0.923
0.584	0.923
0.585	0.923
0.586	0.926
0.587	0.929
0.588	0.932
0.589	0.935
0.590	0.937
0.591	0.937
0.592	0.936
0.593	0.935
0.594	0.934
0.595	0.933
0.596	0.935
0.597	0.936
0.598	0.938
0.599	0.939
0.600	0.941
0.601	0.945
0.602	0.949
0.603	0.952
0.604	0.956
0.605	0.960
0.606	0.958
0.607	0.957
0.608	0.955
0.609	0.953
0.610	0.952
0.611	0.952
0.612	0.953
0.613	0.954
0.614	0.955
0.615	0.956
0.616	0.958
0.617	0.961
0.618	0.963
0.619	0.966
0.620	0.968
0.621	0.972
0.622	0.975
0.623	0.978
0.624	0.981
0.625	0.985
0.626	0.986
0.627	0.986
0.628	0.987
0.629	0.988
0.630	0.989
0.631	0.985
0.632	0.981
0.633	0.977
0.634	0.973
0.635	0.969
0.636	0.971
0.637	0.973
0.638	0.975
0.639	0.978
0.640	0.980
0.641	0.984
0.642	0.988
0.643	0.992
0.644	0.996
0.645	1.000
0.646	0.995
0.647	0.991
0.648	0.986
0.649	0.982
0.650	0.977
0.651	0.975
0.652	0.972
0.653	0.969
0.654	0.967
0.655	0.964
0.656	0.967
0.657	0.971
0.658	0.974
0.659	0.977
0.660	0.980
0.661	0.981
0.662	0.981
0.663	0.982
0.664	0.982
0.665	0.982
0.666	0.979
0.667	0.976
0.668	0.973
0.669	0.970
0.670	0.967
0.671	0.967
0.672	0.967
0.673	0.967
0.674	0.967
0.675	0.967
0.676	0.969
0.677	0.972
0.678	0.974
0.679	0.976
0.680	0.979
0.681	0.972
0.682	0.965
0.683	0.958
0.684	0.950
0.685	0.943
0.686	0.942
0.687	0.941
0.688	0.940
0.689	0.939
0.690	0.938
0.691	0.937
0.692	0.937
0.693	0.937
0.694	0.936
0.695	0.936
0.696	0.938
0.697	0.940
0.698	0.942
0.699	0.944
0.700	0.946
0.701	0.951
0.702	0.956
0.703	0.961
0.704	0.966
0.705	0.971
0.706	0.969
0.707	0.966
0.708	0.963
0.709	0.960
0.710	0.958
0.711	0.952
0.712	0.947
0.713	0.941
0.714	0.936
0.715	0.930
0.716	0.929
0.717	0.927
0.718	0.926
0.719	0.925
0.720	0.923
0.721	0.924
0.722	0.925
0.723	0.926
0.724	0.927
0.725	0.928
0.726	0.923
0.727	0.919
0.728	0.914
0.729	0.910
0.730	0.906
0.731	0.901
0.732	0.897
0.733	0.892
0.734	0.888
0.735	0.883
0.736	0.884
0.737	0.884
0.738	0.884
0.739	0.884
0.740	0.884
