#
#  HY1C/CZI RSR
#
#  from Excel files received from Shen Fang 
#
#  Tabulated QV 2023-01-24
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
350	0.00028883
358	0.0001920798
366	0.0003391096
374	0.0002014424
382	0.00039611
390	0.00031584
398	0.0004320736
406	0.0004355916
414	0.0033636116
422	0.4383045784
430	0.721591657
438	0.797728356
446	0.862563179
454	0.888612499
462	0.8566589006
470	0.845678254
478	0.8715931806
486	0.938846211
494	0.9952251998
502	0.3066988278
510	0.002744128
518	0.0050779228
526	0.0048384204
534	0.0015572524
542	0.0009576122
550	0.001319379
558	0.0028584366
566	0.0051330418
574	0.0014613122
582	0.0018638772
590	0.004037561
598	0.0024080812
606	0.0010300628
614	0.0026513268
622	0.0056586084
630	0.005545905
638	0.0021674348
646	0.0028398444
654	0.0055092028
662	0.0043284876
670	0.002301925
678	0.0012058406
686	0.0011898136
694	0.0006932736
702	0.0011683236
710	0.001421046
718	0.0008333502
726	0.0006858466
734	0.000330265
742	0.000269341
750	0.0007772
758	0.004618988
766	0.0032038464
774	0.0012563168
782	0.0003951416
790	0.000303567
798	0.0003645756
806	0.0010079392
814	0.0048864488
822	0.0061358424
830	0.003407296
838	0.002161604
846	0.0019259498
854	0.0032410474
862	0.0032824558
870	0.001507991
878	0.0012724706
886	0.0009239844
894	0.000319454
902	0.0002976402
910	0.000595398
918	0.0001585424
926	9.39E-05
934	0.00013744594
942	0.00017289824
950	7.26E-05
958	5.79E-05
966	5.25E-05
974	5.21E-05
982	5.90E-05
990	6.19E-05
998	8.77E-05
#
# BAND 2 Green
350	0.000404963
358	0.0009868556
366	0.0003094688
374	0.000492
382	0.0003515428
390	4.48E-04
398	0.0002328386
406	0.0003317938
414	0.0004994322
422	0.0112069582
430	0.012844999
438	0.008982569
446	0.0064272478
454	0.0069086854
462	0.0093199524
470	0.013240649
478	0.017109354
486	0.0209972564
494	0.0286562724
502	0.0322723874
510	0.072189332
518	0.5442431884
526	0.8321408086
534	0.8764927894
542	0.931951105
550	0.968507385
558	0.9933531062
566	0.988705206
574	0.9859622188
582	0.9946486536
590	0.932886878
598	0.4213160656
606	0.0130870656
614	0.004538208
622	0.005448866
630	0.003294913
638	0.002020164
646	0.0022956638
654	0.0040114502
662	0.0035159842
670	0.003053023
678	0.003433431
686	0.0025110014
694	0.0029556798
702	0.0045024542
710	0.004003969
718	0.006253632
726	0.0073359412
734	0.007345562
742	0.0070036622
750	0.007813576
758	0.00835079
766	0.0101977824
774	0.005269784
782	0.0029575188
790	0.002056866
798	0.001570168
806	0.0010177292
814	0.0009933716
