#
#  HY1C/CZI RSR
#
#  from Excel files received from Shen Fang 
#
#  Tabulated QV 2023-01-24
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
350	0.000769426
358	0.0009130996
366	0.0005115602
374	0.000699109
382	0.0003228038
390	0.000356773
398	0.0003240306
406	0.000798125
414	0.005214293
422	0.4461046014
430	0.726946192
438	0.813138514
446	0.8661663296
454	0.8444013856
462	0.8158536774
470	0.866482584
478	0.8938330544
486	0.934846044
494	0.9906052048
502	0.3990649104
510	0.00153989
518	0.003789596
526	0.0037070164
534	0.0042502436
542	0.0031800214
550	0.002586214
558	0.0019514428
566	0.0027291898
574	0.0015177346
582	0.0019051388
590	0.006760623
598	0.0055217696
606	0.0026791672
614	0.0041315632
622	0.0039109778
630	0.003780711
638	0.0025531922
646	0.0046355386
654	0.0042151498
662	0.0024396034
670	0.004281269
678	0.0030995836
686	0.0020484424
694	0.0010790272
702	0.0009173424
710	0.000618108
718	0.0004133242
726	0.0001358032
734	0.0001047072
742	0.0001303728
750	0.000345855
758	0.0042910052
766	0.002130303
774	0.0013078654
782	0.0010054974
790	0.00086289
798	0.0009485226
806	0.0012122918
814	0.001743007
822	0.0027394938
830	0.002269256
838	0.001345784
846	0.0013629526
854	0.0022410622
862	0.0021382052
870	0.001765822
878	0.0016316138
886	0.00346681
894	0.0026106652
902	0.000844888
910	0.001170733
918	0.001119233
926	0.0005777722
934	0.0010041522
942	0.0004706624
950	8.23E-05
958	2.92E-05
966	1.10E-05
974	1.92E-05
982	5.65E-05
990	0.000286112
998	0.0004220648
1006	8.29E-05
1014	5.80E-05
1022	0.000180397
1030	0.000591768
1038	0.0002353336
1046	0.0001615334
1054	0.000266199
1062	0.0001167326
1070	2.62E-05
1078	2.23E-05
1086	4.14E-05
1094	7.46E-05
#
# BAND 2 Green
350	0.003601693
358	0.0031471764
366	0.000684931
374	0.0006684758
382	0.0004038978
390	3.77E-05
398	0.000290631
406	0.0005121534
414	0.003514703
422	0.0202268414
430	0.021115694
438	0.0149580996
446	0.0087009566
454	0.0085467598
462	0.013841675
470	0.021156045
478	0.027172408
486	0.0307967558
494	0.0290935822
502	0.008650811
510	0.000613783
518	0.2742113628
526	0.7826799348
534	0.8256346676
542	0.8717791794
550	0.918847083
558	0.9428812992
566	0.9325691502
574	0.921702651
582	0.9809974546
590	0.982075455
598	0.54145946
606	0.0391980702
614	0.0024785286
622	0.0030292244
630	0.003390023
638	0.003534507
646	0.0035564876
654	0.004508454
662	0.0044482082
670	0.004766641
678	0.0045119976
686	0.001986989
694	0.002042077
702	0.0025792842
710	0.001495225
718	0.003659144
726	0.0049040254
734	0.0041090646
742	0.0037559026
750	0.003920678
758	0.003151772
766	0.004425933
774	0.0065322962
782	0.0050455794
790	0.002999539
798	0.0021240778
806	0.001955253
814	0.0016329658
822	0.0015743714
830	0.001691097
838	0.0021764014
846	0.0033375854
854	0.003172355
862	0.0017817192
870	0.001087812
878	0.0010881714
886	0.0019440522
894	0.0026884738
902	0.0020519998
910	0.001306575
918	0.000365948
926	7.36E-05
934	4.70E-05
942	2.02E-05
950	7.82E-06
958	3.96E-05
966	0.0002899596
974	0.0009936852
982	0.0007520256
990	0.000709039
998	0.0003642262
1006	0.0002120394
1014	0.0003296818
1022	0.0004701736
1030	0.000143536
1038	6.05E-05
1046	6.31E-05
1054	8.45E-05
1062	0.00010031952
1070	6.79E-05
1078	4.80E-05
1086	5.62E-05
1094	4.21E-05
#
# BAND 3 Red
350	0.002607029
358	0.0022459566
366	0.0005908904
374	0.000528836
382	0.00035595406
390	0.000666381
398	0.001064371
406	0.0002808604
414	0.00021275
422	0.0011828644
430	0.001236628
438	0.0003734222
446	0.0004625446
454	0.0010622238
462	0.0017523728
470	0.002366008
478	0.0026729852
486	0.00249756
494	0.0025914264
502	0.0010736198
510	0.000217326
518	0.0049138486
526	0.0100804116
534	0.00617105
542	0.0039883218
550	0.003954392
558	0.0068304064
566	0.0102302104
574	0.0137918192
582	0.0189676062
590	0.022030233
598	0.0141615948
606	0.1219968736
614	0.7657983232
622	0.9115795686
630	0.934269688
638	0.9150855234
646	0.8957417166
654	0.899888579
662	0.9274574924
670	0.964665011
678	0.991937356
686	0.8026065196
694	0.1657355036
702	0.0062005688
710	0.001047921
718	0.0012613752
726	0.0009147456
734	0.000580648
742	0.0020912088
750	0.004384334
758	0.0031322718
766	0.0031514076
774	0.0046331444
782	0.0052984152
790	0.004121286
798	0.0029407712
806	0.0039434348
814	0.0040834764
822	0.0047611284
830	0.00277271
838	0.0018167246
846	0.0022993832
854	0.0025035264
862	0.0027946092
870	0.003399683
878	0.0044031964
886	0.005343454
894	0.0023249972
902	0.0030540806
910	0.002965119
918	0.0006648
926	0.00022885438
934	4.75E-05
942	2.06E-05
950	1.75E-05
958	3.83E-05
966	4.55E-05
974	0.00012868524
982	0.0002123054
990	9.22E-06
998	3.14E-05
1006	1.93E-05
1014	3.58E-05
1022	2.46E-05
1030	1.14E-05
1038	1.79E-05
1046	0.0004287668
1054	5.11E-05
1062	2.50E-05
1070	2.63E-05
1078	5.15E-06
1086	3.21E-05
1094	5.97E-05
#
# BAND 4 NIR
350	0.000286896
358	0.0017351042
366	0.0010222864
374	0.0005480112
382	0.00066345204
390	0.000392299
398	0.0005513096
406	0.0004171806
414	0.0004652182
422	0.0008267552
430	0.000414865
438	0.0003937608
446	0.00064961
454	0.0010245156
462	0.0010588978
470	0.001790601
478	0.0016535598
486	0.0010409384
494	0.000971992
502	0.0002936588
510	0.00077644
518	0.0008705406
526	0.0005020372
534	0.000444958
542	0.0004200312
550	0.001459226
558	0.0046888974
566	0.0048271186
574	0.0038754522
582	0.005271418
590	0.006273983
598	0.004786126
606	0.0033678596
614	0.01638461
622	0.0181637864
630	0.015008988
638	0.0143902022
646	0.0115775552
654	0.008341484
662	0.0087758824
670	0.006103847
678	0.0053357606
686	0.0049351362
694	0.0020512602
702	0.0033153096
710	0.005882284
718	0.0018084704
726	0.0003821014
734	0.0002034278
742	0.0005999318
750	0.003709129
758	0.142036461
766	0.8310095664
774	0.9922763352
782	0.9958299486
790	0.958648081
798	0.9424731892
806	0.9461922326
814	0.9162475662
