#
#  KX10/MII SDGSAT1/MII RSR
#
#  from RSR_mii.xlsx
#
#  Tabulated QV 2023-01-03
#
# Wavelength (nm)	RSR
#
# BAND 1 DeepBlue1
0.37	0.00743518321540029
0.371	0.0154814047519165
0.372	0.0285411890858747
0.373	0.0406506166384012
0.374	0.0578259627664263
0.375	0.0836042247799235
0.376	0.118131866311178
0.377	0.172346605854436
0.378	0.220054648828589
0.379	0.279526173581274
0.38	0.334983534439167
0.381	0.429031742844324
0.382	0.513290746215638
0.383	0.546673187943326
0.384	0.576383435162008
0.385	0.613208103614073
0.386	0.657387102054666
0.387	0.693572897468167
0.388	0.727132951202427
0.389	0.737694901011129
0.39	0.745103574971817
0.391	0.748848007199914
0.392	0.756289817728992
0.393	0.780526566580976
0.394	0.803479604773522
0.395	0.825631400742392
0.396	0.849294886961224
0.397	0.878172743581944
0.398	0.907552287848091
0.399	0.936422191692397
0.4	0.963194550757601
0.401	0.978016537798552
0.402	0.991316893619024
0.403	0.993556262910835
0.404	0.999717013705948
0.405	0.999638148673179
0.406	1
0.407	0.984474854977809
0.408	0.967235223907106
0.409	0.931751923743478
0.41	0.90349239548892
0.411	0.874727865932095
0.412	0.845493459835497
0.413	0.818017280057684
0.414	0.788968438744071
0.415	0.74217165140065
0.416	0.695698939696085
0.417	0.626220834020917
0.418	0.531368732466613
0.419	0.42822387330697
0.42	0.336580054304208
0.421	0.258021203427382
0.422	0.187666304152609
0.423	0.14631451772707
0.424	0.11405275474234
0.425	0.0923058876391985
0.426	0.0711985563059884
0.427	0.0538098106775302
0.428	0.0347947222724794
0.429	0.0206579994658385
0.43	0.00623630217104169
0.431	0.003283833927472
0.432	0.000243782287443825
0.433	0.000125504355139184
0.434	0
0.435	0
0.436	0
0.437	0
0.438	0
0.439	0
0.44	0
0.441	0
0.442	0
0.443	0
0.444	0
0.445	0
0.446	0
0.447	0
0.448	0
0.449	0
0.45	0
0.451	0
0.452	0
0.453	0
0.454	0
0.455	0
0.456	0
0.457	0
0.458	0
0.459	0
0.46	0
0.461	0
0.462	0
0.463	0
0.464	0
0.465	0
0.466	0
0.467	0
0.468	0
0.469	0
0.47	0
0.471	0
0.472	0
0.473	0
0.474	0
0.475	0
0.476	0
0.477	0
0.478	0
0.479	0
0.48	0
0.481	0
0.482	0
0.483	0
0.484	0
0.485	0
0.486	0
0.487	0
0.488	0
0.489	0
0.49	0
0.491	0
0.492	0
0.493	0
0.494	0
0.495	0
0.496	0
0.497	0
0.498	0
0.499	0
0.5	0
0.501	0
0.502	0
0.503	0
0.504	0
0.505	0
0.506	0
0.507	0
0.508	0
0.509	0
0.51	0
0.511	0
0.512	0
0.513	0
0.514	0
0.515	0
0.516	0
0.517	0
0.518	0
0.519	0
0.52	0
0.521	0
0.522	0
0.523	0
0.524	0
0.525	0
0.526	0
0.527	0
0.528	0
0.529	0
0.53	0
0.531	0
0.532	0
0.533	0
0.534	0
0.535	0
0.536	0
0.537	0
0.538	0
0.539	0
0.54	0
0.541	0
0.542	0
0.543	0
0.544	0
0.545	0
0.546	0
0.547	0
0.548	0
0.549	0
0.55	0
0.551	0
0.552	0
0.553	0
0.554	0
0.555	0
0.556	0
0.557	0
0.558	0
0.559	0
0.56	0
0.561	0
0.562	0
0.563	0
0.564	0
0.565	0
0.566	0
0.567	0
0.568	0
0.569	0
0.57	0
0.571	0
0.572	0
0.573	0
0.574	0
0.575	0
0.576	0
0.577	0
0.578	0
0.579	0
0.58	0
0.581	0
0.582	0
0.583	0
0.584	0
0.585	0
0.586	0
0.587	0
0.588	0
0.589	0
0.59	0
0.591	0
0.592	0
0.593	0
0.594	0
0.595	0
0.596	0
0.597	0
0.598	0
0.599	0
0.6	0
0.601	0
0.602	0
0.603	0
0.604	0
0.605	0
0.606	0
0.607	0
0.608	0
