# Quinten Vanhellemont 2022-12-15 from Landsat3MSS_Ba\ndAverageRSR.xls
# https://landsat.gsfc.nasa.gov
#
#  Landsat 3 MSS Band 4
#
#  Wavelength
#   (microns)	Reflectance
#
0.447	0.000
0.448	0.000
0.449	0.009
0.450	0.005
0.451	0.005
0.452	0.005
0.453	0.006
0.454	0.006
0.455	0.006
0.456	0.006
0.457	0.004
0.458	0.004
0.459	0.004
0.460	0.004
0.461	0.004
0.462	0.006
0.463	0.007
0.464	0.008
0.465	0.010
0.466	0.008
0.467	0.008
0.468	0.010
0.469	0.012
0.470	0.014
0.471	0.016
0.472	0.019
0.473	0.021
0.474	0.023
0.475	0.026
0.476	0.028
0.477	0.033
0.478	0.038
0.479	0.045
0.480	0.054
0.481	0.064
0.482	0.081
0.483	0.101
0.484	0.127
0.485	0.168
0.486	0.202
0.487	0.252
0.488	0.295
0.489	0.317
0.490	0.361
0.491	0.387
0.492	0.419
0.493	0.447
0.494	0.470
0.495	0.498
0.496	0.520
0.497	0.542
0.498	0.570
0.499	0.595
0.500	0.627
0.501	0.647
0.502	0.674
0.503	0.695
0.504	0.713
0.505	0.730
0.506	0.747
0.507	0.766
0.508	0.783
0.509	0.802
0.510	0.818
0.511	0.830
0.512	0.843
0.513	0.855
0.514	0.866
0.515	0.873
0.516	0.882
0.517	0.890
0.518	0.899
0.519	0.907
0.520	0.914
0.521	0.921
0.522	0.926
0.523	0.934
0.524	0.938
0.525	0.943
0.526	0.949
0.527	0.953
0.528	0.956
0.529	0.957
0.530	0.960
0.531	0.961
0.532	0.962
0.533	0.962
0.534	0.962
0.535	0.961
0.536	0.961
0.537	0.961
0.538	0.961
0.539	0.961
0.540	0.964
0.541	0.966
0.542	0.970
0.543	0.974
0.544	0.978
0.545	0.984
0.546	0.990
0.547	0.994
0.548	0.996
0.549	0.999
0.550	1.000
0.551	1.000
0.552	1.000
0.553	1.000
0.554	0.999
0.555	0.998
0.556	0.996
0.557	0.994
0.558	0.992
0.559	0.989
0.560	0.987
0.561	0.987
0.562	0.986
0.563	0.987
0.564	0.989
0.565	0.991
0.566	0.993
0.567	0.994
0.568	0.995
0.569	0.995
0.570	0.995
0.571	0.994
0.572	0.994
0.573	0.993
0.574	0.991
0.575	0.985
0.576	0.977
0.577	0.969
0.578	0.959
0.579	0.943
