# QV 2015-05-06 from Airbus DS Excel file
#
#  Pléiades 1A PHR1A Band 1 Blue
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.43	0.009967546
0.4325	0.029622312
0.435	0.088616034
0.4375	0.130000889
0.44	0.135475504
0.4425	0.248180852
0.445	0.438930773
0.4475	0.518476320
0.45	0.475844020
0.4525	0.517753105
0.455	0.659617343
0.4575	0.778553853
0.46	0.795881716
0.4625	0.772539858
0.465	0.779615444
0.4675	0.809403610
0.47	0.832382851
0.4725	0.843705809
0.475	0.841004865
0.4775	0.833227275
0.48	0.825046666
0.4825	0.824563849
0.485	0.836890823
0.4875	0.871071812
0.49	0.916650505
0.4925	0.947350771
0.495	0.960149451
0.4975	0.966871510
0.5	0.974781419
0.5025	0.972985503
0.505	0.968386625
0.5075	0.966372532
0.51	0.974396580
0.5125	0.990341648
0.515	1.000000000
0.5175	0.993808231
0.52	0.981704484
0.5225	0.981317625
0.525	0.967137160
0.5275	0.885850242
0.53	0.717549272
0.5325	0.499362642
0.535	0.305244115
0.5375	0.174007903
0.54	0.095304457
0.5425	0.054937557
0.545	0.034921578
0.5475	0.026364815
0.55	0.023232770
0.5525	0.022545211
0.555	0.021225344
0.5575	0.017491697
0.56	0.012031223
0.5625	0.007362943
0.565	0.004677715
0.5675	0.003363292
0.57	0.002612543
0.5725	0.002043587
0.575	0.001518135
0.5775	0.001063287
0.58	0.000711528
0.5825	0.000525141
0.585	0.000415859
0.5875	0.000413853
0.59	0.000537058
0.5925	0.000962769
0.595	0.001365755
0.5975	0.001441672
0.6	0.000927412
0.6025	0.000347427
0.605	0.000133674
0.6075	0.000079108
0.61	0.000063231
0.6125	0.000051660
0.615	0.000054362
0.6175	0.000053827
0.62	0.000045837
0.6225	0.000040837
0.625	0.000031787
0.6275	0.000033035
0.63	0.000026444
0.6325	0.000030555
0.635	0.000020757
0.6375	0.000024372
0.64	0.000024292
0.6425	0.000027589
0.645	0.000026070
0.6475	0.000021040
0.65	0.000034413
0.6525	0.000038261
0.655	0.000039646
0.6575	0.000043348
0.66	0.000028333
0.6625	0.000027944
0.665	0.000018868
0.6675	0.000027438
0.67	0.000024727
0.6725	0.000021141
0.675	0.000013868
0.6775	0.000017237
0.68	0.000025919
0.6825	0.000030333
0.685	0.000033312
0.6875	0.000044999
0.69	0.000040130
0.6925	0.000040282
0.695	0.000038797
0.6975	0.000033934
0.7	0.000031009
0.7025	0.000030253
0.705	0.000024424
0.7075	0.000022595
0.71	0.000021242
0.7125	0.000032872
0.715	0.000069665
0.7175	0.000221698
0.72	0.000511351
0.7225	0.000845760
0.725	0.000955906
0.7275	0.000717025
0.73	0.000495927
0.7325	0.000447764
0.735	0.000612460
0.7375	0.001213971
0.74	0.001640425
0.7425	0.001694838
0.745	0.000983077
0.7475	0.000364208
0.75	0.000167541
0.7525	0.000087306
0.755	0.000056978
0.7575	0.000056737
0.76	0.000059635
0.7625	0.000046216
0.765	0.000038555
0.7675	0.000059201
0.77	0.000069180
0.7725	0.000047927
0.775	0.000088069
0.7775	0.000063482
0.78	0.000095775
0.7825	0.000102477
0.785	0.000157936
0.7875	0.000240257
0.79	0.000352840
0.7925	0.000546303
0.795	0.000730144
0.7975	0.000797516
0.8	0.000726083
0.8025	0.000525682
0.805	0.000397849
0.8075	0.000315957
0.81	0.000272569
0.8125	0.000263140
0.815	0.000240166
0.8175	0.000230949
0.82	0.000243035
0.8225	0.000276812
0.825	0.000323548
0.8275	0.000385020
0.83	0.000495342
0.8325	0.000613799
0.835	0.000829293
0.8375	0.001190941
0.84	0.001833309
0.8425	0.003112783
0.845	0.005614884
0.8475	0.010469645
0.85	0.016798482
0.8525	0.021363421
0.855	0.021842501
0.8575	0.017869264
0.86	0.013830675
0.8625	0.010821556
0.865	0.009045730
0.8675	0.008059360
0.87	0.007998715
0.8725	0.008126712
0.875	0.008981550
0.8775	0.010309043
0.88	0.012742822
0.8825	0.016388593
0.885	0.022353600
0.8875	0.031140154
0.89	0.041613133
0.8925	0.050325245
0.895	0.053661830
0.8975	0.048936894
0.9	0.039506315
0.9025	0.029434135
0.905	0.021477560
0.9075	0.016377987
0.91	0.013022412
0.9125	0.010925897
0.915	0.009506325
0.9175	0.008523601
0.92	0.007802710
0.9225	0.007497939
0.925	0.007333448
0.9275	0.007419962
0.93	0.007496152
0.9325	0.007720358
0.935	0.007857153
0.9375	0.007893869
0.94	0.007777933
0.9425	0.007298439
0.945	0.006656728
0.9475	0.005769507
0.95	0.004862135
#
#  Pléiades 1A PHR1A Band 2 Green
#
#  Wavelength
