# QV 2022-09-29 from Airbus DS technical support Excel file
# SpectralValues_Normalized-PHR1A_PHR1B_SPOT6_SPOT7_PNEO3-4.xlsx
#
#  Pléiades Neo PNEO4 Band 1 BlueCoastal
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.35	1.96421E-08
0.351	6.9791E-08
0.352	7.99682E-08
0.353	2.33894E-08
0.354	1.85337E-08
0.355	5.62396E-08
0.356	4.93436E-08
0.357	8.25131E-08
0.358	1.08645E-07
0.359	7.15108E-08
0.36	3.22731E-08
0.361	1.86412E-08
0.362	4.14575E-08
0.363	3.73901E-08
0.364	3.03463E-08
0.365	4.89898E-08
0.366	3.19095E-08
0.367	3.39491E-08
0.368	1.04986E-07
0.369	1.38552E-07
0.37	2.59198E-07
0.371	5.72074E-07
0.372	1.27445E-06
0.373	3.95194E-06
0.374	1.16289E-05
0.375	2.891E-05
0.376	6.14704E-05
0.377	0.00013809
0.378	0.000312266
0.379	0.000620754
0.38	0.001091548
0.381	0.001782411
0.382	0.002828161
0.383	0.004395602
0.384	0.006728616
0.385	0.010228531
0.386	0.016136189
0.387	0.02626221
0.388	0.041261913
0.389	0.05912921
0.39	0.076042318
0.391	0.089252158
0.392	0.098199075
0.393	0.104265519
0.394	0.108439098
0.395	0.111794808
0.396	0.116547293
0.397	0.125324839
0.398	0.138862816
0.399	0.156649971
0.4	0.176803967
0.401	0.196075801
0.402	0.213531631
0.403	0.22929039
0.404	0.244846371
0.405	0.26097742
0.406	0.277677519
0.407	0.296036447
0.408	0.316892304
0.409	0.340576463
0.41	0.365059975
0.411	0.388706983
0.412	0.410561015
0.413	0.431169859
0.414	0.452289173
0.415	0.474298757
0.416	0.496923897
0.417	0.520526009
0.418	0.542481435
0.419	0.563187031
0.42	0.582517929
0.421	0.6022168
0.422	0.623011384
0.423	0.644438107
0.424	0.664575785
0.425	0.682664545
0.426	0.698019072
0.427	0.712158277
0.428	0.727790725
0.429	0.745946191
0.43	0.765564337
0.431	0.78394144
0.432	0.797184566
0.433	0.807878933
0.434	0.820588988
0.435	0.838540264
0.436	0.858521655
0.437	0.876339489
0.438	0.888410554
0.439	0.898399275
0.44	0.909918777
0.441	0.922052053
0.442	0.931901888
0.443	0.935004793
0.444	0.926587853
0.445	0.907124108
0.446	0.883709787
0.447	0.86994833
0.448	0.876319763
0.449	0.902438342
0.45	0.941831069
0.451	0.979875705
0.452	1
0.453	0.98573797
0.454	0.924028319
0.455	0.817951392
0.456	0.686989994
0.457	0.553046995
0.458	0.427209725
0.459	0.313293542
0.46	0.216677802
0.461	0.143179363
0.462	0.094311922
0.463	0.065187308
0.464	0.048238528
0.465	0.037405932
0.466	0.029336611
0.467	0.022589381
0.468	0.01681638
0.469	0.012120264
0.47	0.008621079
0.471	0.006024606
0.472	0.004103733
0.473	0.002957334
0.474	0.002395228
0.475	0.002097103
0.476	0.001912655
0.477	0.001756264
0.478	0.001547511
0.479	0.001263809
0.48	0.000952708
0.481	0.000680579
0.482	0.000482124
0.483	0.000359247
0.484	0.000294846
0.485	0.000271231
0.486	0.000273491
0.487	0.000292398
0.488	0.000316595
0.489	0.000329968
0.49	0.00032487
0.491	0.000299478
0.492	0.000261293
0.493	0.000220087
0.494	0.000185454
0.495	0.00016115
0.496	0.000144288
0.497	0.000137667
0.498	0.000142035
0.499	0.000155369
0.5	0.000180097
0.501	0.000216864
0.502	0.000257403
0.503	0.000284382
0.504	0.000279558
0.505	0.000242324
0.506	0.000189762
0.507	0.000141434
0.508	0.000112655
0.509	0.000103349
0.51	0.000113705
0.511	0.000138532
0.512	0.000169202
0.513	0.000192352
0.514	0.000194847
0.515	0.000176355
0.516	0.000145923
0.517	0.000115291
0.518	9.12454E-05
0.519	7.35626E-05
0.52	6.07567E-05
0.521	5.07459E-05
0.522	4.20526E-05
0.523	3.87384E-05
0.524	3.86457E-05
0.525	4.4988E-05
0.526	5.74192E-05
0.527	7.45803E-05
0.528	9.71932E-05
0.529	0.000115464
0.53	0.000121815
0.531	0.00011423
0.532	9.31509E-05
0.533	6.87595E-05
0.534	5.17798E-05
0.535	4.11978E-05
0.536	4.11932E-05
0.537	4.78629E-05
0.538	5.89907E-05
0.539	8.00489E-05
0.54	0.000105651
0.541	0.000138313
0.542	0.000188051
0.543	0.000250473
0.544	0.000325034
0.545	0.000428843
0.546	0.000560483
0.547	0.000676201
0.548	0.000722455
0.549	0.000682767
0.55	0.000592359
0.551	0.00049137
0.552	0.000486745
0.553	0.000656087
0.554	0.000968928
0.555	0.001510072
0.556	0.002514073
0.557	0.003808604
0.558	0.004719395
0.559	0.004919968
0.56	0.004556503
0.561	0.003711234
0.562	0.00264884
0.563	0.001789204
0.564	0.001285459
0.565	0.000964672
0.566	0.000774304
0.567	0.000836337
0.568	0.00108669
0.569	0.001323305
0.57	0.001818238
0.571	0.00320777
0.572	0.004982252
0.573	0.005710286
0.574	0.0055853
0.575	0.005308527
0.576	0.004166309
0.577	0.002248031
0.578	0.000722788
0.579	0.00014011
0.58	3.02991E-05
0.581	1.8044E-05
0.582	2.04316E-05
0.583	6.66732E-05
0.584	0.00022782
0.585	0.00049309
0.586	0.000775284
0.587	0.001175171
0.588	0.001890669
0.589	0.002582727
0.59	0.002778583
0.591	0.002650069
0.592	0.002641248
0.593	0.002731879
0.594	0.002650525
0.595	0.00232151
0.596	0.001888926
0.597	0.001360236
0.598	0.000769852
0.599	0.000327822
0.6	0.00012468
0.601	6.78742E-05
0.602	7.41772E-05
0.603	0.000111791
0.604	0.000159668
0.605	0.000220344
0.606	0.000322104
0.607	0.00045205
0.608	0.000523066
0.609	0.000500928
0.61	0.000442144
0.611	0.000374841
0.612	0.000288846
0.613	0.000215301
0.614	0.000185948
0.615	0.000195339
0.616	0.000231509
0.617	0.000305718
0.618	0.000409823
0.619	0.000472652
0.62	0.000469445
0.621	0.000438728
0.622	0.000400699
0.623	0.000335747
0.624	0.000240761
0.625	0.000156703
0.626	0.000114009
0.627	0.000105256
0.628	0.000118112
0.629	0.000134883
0.63	0.000143521
0.631	0.000147945
0.632	0.000141586
0.633	0.000124542
0.634	0.000109634
0.635	0.000100468
0.636	0.000107409
0.637	0.000125645
0.638	0.000145199
0.639	0.000164762
0.64	0.000199012
0.641	0.000270442
0.642	0.00035603
0.643	0.000397029
0.644	0.000379183
0.645	0.000355518
0.646	0.000352159
0.647	0.000328426
0.648	0.000244197
0.649	0.00014296
0.65	7.2443E-05
0.651	4.67951E-05
0.652	5.7754E-05
0.653	8.30277E-05
0.654	0.000111263
0.655	0.000140948
0.656	0.000174381
0.657	0.000231612
0.658	0.000298473
0.659	0.000336767
0.66	0.000340712
0.661	0.000338609
0.662	0.000349029
0.663	0.000358293
0.664	0.000344056
0.665	0.000318453
0.666	0.000309316
0.667	0.000325709
0.668	0.000352718
0.669	0.000365084
0.67	0.000356821
0.671	0.000341925
0.672	0.000325164
0.673	0.000307759
0.674	0.000273263
0.675	0.000222954
0.676	0.000172947
0.677	0.000126732
0.678	9.46998E-05
0.679	7.2775E-05
0.68	5.24486E-05
0.681	3.81757E-05
0.682	2.3792E-05
0.683	1.14653E-05
0.684	5.46865E-06
0.685	1.68113E-06
0.686	1.54339E-07
0.687	8.72447E-08
0.688	2.22109E-07
0.689	2.08782E-07
0.69	8.24901E-08
0.691	1.39247E-08
0.692	1.19282E-08
0.693	9.93287E-08
0.694	1.66577E-07
0.695	1.25242E-07
0.696	4.39407E-07
0.697	2.92602E-07
0.698	1.81112E-08
0.699	0
0.7	0
0.701	4.29116E-09
0.702	1.35346E-07
0.703	3.46943E-07
0.704	2.13146E-07
0.705	1.84237E-07
0.706	4.52868E-08
0.707	2.38644E-07
0.708	4.98077E-07
0.709	3.75234E-07
0.71	1.89724E-07
0.711	1.66449E-08
0.712	7.12823E-08
0.713	1.61906E-07
0.714	1.1295E-07
0.715	1.32304E-07
0.716	5.91349E-08
0.717	1.68066E-08
0.718	9.39022E-08
0.719	1.05414E-06
0.72	4.81906E-06
0.721	1.05643E-05
0.722	1.45611E-05
0.723	1.72068E-05
0.724	1.93911E-05
0.725	2.46159E-05
0.726	3.66772E-05
0.727	5.00625E-05
0.728	6.20749E-05
0.729	6.67157E-05
0.73	6.87774E-05
0.731	6.69494E-05
0.732	6.38929E-05
0.733	6.7316E-05
0.734	7.70885E-05
0.735	8.86689E-05
0.736	8.41448E-05
0.737	6.53262E-05
0.738	4.77916E-05
0.739	3.17844E-05
0.74	1.83544E-05
0.741	1.36206E-05
0.742	1.08721E-05
0.743	8.0395E-06
0.744	5.22291E-06
0.745	3.55531E-06
0.746	3.53983E-06
0.747	2.44666E-06
0.748	2.73188E-06
0.749	3.87167E-06
0.75	3.73186E-06
0.751	3.39208E-06
0.752	3.53688E-06
0.753	5.00932E-06
0.754	6.5148E-06
0.755	6.95986E-06
0.756	7.45108E-06
0.757	7.08555E-06
0.758	9.17755E-06
0.759	1.20739E-05
0.76	1.39666E-05
0.761	1.4101E-05
0.762	1.38772E-05
0.763	1.50281E-05
0.764	1.54089E-05
0.765	1.69392E-05
0.766	1.99217E-05
0.767	2.02288E-05
0.768	1.97998E-05
0.769	1.96269E-05
0.77	1.89907E-05
0.771	1.6119E-05
0.772	1.39699E-05
0.773	1.24301E-05
0.774	1.18803E-05
0.775	1.13109E-05
0.776	9.42109E-06
0.777	8.9409E-06
0.778	1.00006E-05
0.779	1.12611E-05
0.78	1.34153E-05
0.781	1.52478E-05
0.782	1.56269E-05
0.783	2.03217E-05
0.784	2.48593E-05
0.785	2.55448E-05
0.786	2.89584E-05
0.787	3.31377E-05
0.788	3.62188E-05
0.789	4.03108E-05
0.79	4.26318E-05
0.791	4.64905E-05
0.792	6.51675E-05
0.793	8.26588E-05
0.794	8.81424E-05
0.795	0.000104348
0.796	0.000137663
0.797	0.000184632
0.798	0.000243022
0.799	0.000289256
0.8	0.000320557
0.801	0.00032493
0.802	0.000338682
0.803	0.000365132
0.804	0.000379534
0.805	0.000380697
0.806	0.000402166
0.807	0.000444166
0.808	0.000470046
0.809	0.00048516
0.81	0.000535506
0.811	0.000596024
0.812	0.000607821
0.813	0.000600013
0.814	0.000597851
0.815	0.000593573
0.816	0.000583791
0.817	0.000584578
0.818	0.000580576
0.819	0.000578785
0.82	0.000586108
0.821	0.000576417
0.822	0.000573129
0.823	0.000578621
0.824	0.000570717
0.825	0.000562053
0.826	0.000555845
0.827	0.00055729
0.828	0.000564987
0.829	0.000560265
0.83	0.000544649
0.831	0.000544515
0.832	0.000552181
0.833	0.00054436
0.834	0.000538719
0.835	0.000541735
0.836	0.000542163
0.837	0.000529183
0.838	0.000526856
0.839	0.000529529
0.84	0.000529177
0.841	0.000519438
0.842	0.000513572
0.843	0.000519767
0.844	0.000524362
0.845	0.000526347
0.846	0.000519351
0.847	0.000514
0.848	0.000511626
0.849	0.000517386
0.85	0.000517088
0.851	0.000512922
0.852	0.000511899
0.853	0.000508682
0.854	0.000506488
0.855	0.000510136
0.856	0.000506763
0.857	0.000506423
0.858	0.000503536
0.859	0.000498392
0.86	0.000500258
0.861	0.000505687
0.862	0.000503094
0.863	0.000493256
0.864	0.000489745
0.865	0.000495763
0.866	0.000493085
0.867	0.000491955
0.868	0.000490197
0.869	0.000487498
0.87	0.000477441
0.871	0.00046111
0.872	0.000464313
0.873	0.000471954
0.874	0.000460081
0.875	0.000451847
0.876	0.000457052
0.877	0.000463036
0.878	0.000461232
0.879	0.000446523
0.88	0.00044251
0.881	0.000448081
0.882	0.000445453
0.883	0.000432422
0.884	0.000426727
0.885	0.000434345
0.886	0.000431072
0.887	0.000422666
0.888	0.00042328
0.889	0.000423137
0.89	0.000422066
0.891	0.000416531
0.892	0.000410945
0.893	0.000407078
0.894	0.000405118
0.895	0.000400939
0.896	0.000396148
0.897	0.000392825
0.898	0.000394428
0.899	0.000391776
0.9	0.00038961
0.901	0.000390402
0.902	0.000384315
0.903	0.000378723
0.904	0.000377309
0.905	0.000377903
0.906	0.000377135
0.907	0.000367136
0.908	0.000357651
0.909	0.0003574
0.91	0.000356983
0.911	0.000354831
0.912	0.000348543
0.913	0.000345824
0.914	0.000348073
0.915	0.000345313
0.916	0.00033804
0.917	0.000332884
0.918	0.000330739
0.919	0.000329504
0.92	0.000325757
0.921	0.000321786
0.922	0.000317986
0.923	0.000316824
0.924	0.000313373
