# QV 2018-03-12 from PlanetScope Excel file
# 
# https://support.planet.com/hc/en-us/article_attachments/360000960267/relative_spectral_response_median_per_ps_sat_group.xlsx
#
#  PlanetScope 0c Band 1 Blue
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.41	0.027
0.42	0.000
0.43	0.000
0.44	0.054
0.45	0.081
0.46	0.946
0.47	1.000
0.48	0.946
0.49	0.865
0.5	0.757
0.51	0.622
0.52	0.432
0.53	0.270
0.54	0.189
0.55	0.081
0.56	0.027
0.57	0.027
0.58	0.000
0.59	0.000
0.6	0.000
0.61	0.000
0.62	0.000
0.63	0.000
0.64	0.000
0.65	0.000
0.66	0.027
0.67	0.027
0.68	0.027
0.69	0.027
#
#  PlanetScope 0c Band 2 Green
#
#  Wavelength
#   (microns)	Reflectance
#  __________	___________
0.45	0.029
0.46	0.206
0.47	0.353
0.48	0.441
0.49	0.471
0.5	0.588
0.51	0.765
0.52	0.912
0.53	0.971
0.54	1.000
0.55	0.941
0.56	0.853
0.57	0.765
0.58	0.647
0.59	0.500
0.6	0.353
0.61	0.176
0.62	0.118
0.63	0.059
0.64	0.059
0.65	0.029
0.66	0.029
0.67	0.059
0.68	0.059
0.69	0.088
#
#  PlanetScope 0c Band 3 Red
#
#  Wavelength
#   (microns)	Reflectance
#  __________	___________
0.46	0.074
0.47	0.111
0.48	0.148
0.49	0.111
0.5	0.148
0.51	0.148
0.52	0.111
0.53	0.111
0.54	0.111
0.55	0.111
0.56	0.111
0.57	0.111
0.58	0.185
0.59	0.481
0.6	0.852
0.61	1.000
0.62	1.000
0.63	1.000
0.64	0.926
0.65	0.889
0.66	0.852
0.67	0.815
0.68	0.704
0.69	0.519
0.7	0.037
#
#  PlanetScope 0c Band 4 NIR
#
#  Wavelength
#   (microns)	Reflectance
#  __________	___________
0.63	0.100
0.64	0.000
0.65	0.000
0.66	0.000
0.67	0.000
0.68	0.000
0.69	0.100
0.7	0.000
0.71	0.000
0.72	0.000
0.73	0.000
0.74	0.000
0.75	0.000
0.76	0.000
0.77	0.400
0.78	0.900
0.79	1.000
0.8	0.900
0.81	0.800
0.82	0.800
0.83	0.700
0.84	0.700
0.85	0.600
0.86	0.500
0.87	0.300
0.88	0.100
