# QV 2018-03-27 from PlanetScope csv file
#
#  file received from Planet - Technical Support
#
#  PlanetScope 0d06 Band 1 Blue
#
#  Wavelength#   (microns)	Relative response
#  __________	___________
0.32	0.0
0.33	0.0
0.34	0.0
0.35	0.0
0.36	0.0
0.37	0.0
0.38	0.0
0.39	0.0
0.4	0.0
0.41	0.027027027
0.42	0.0
0.43	0.0
0.44	0.054054054
0.45	0.081081081
0.46	0.945945946
0.47	1.0
0.48	0.945945946
0.49	0.864864865
0.5	0.756756757
0.51	0.621621622
0.52	0.432432432
0.53	0.27027027
0.54	0.189189189
0.55	0.081081081
0.56	0.027027027
0.57	0.027027027
0.58	0.0
0.59	0.0
0.6	0.0
0.61	0.0
0.62	0.0
0.63	0.0
0.64	0.0
0.65	0.0
0.66	0.027027027
0.67	0.027027027
0.68	0.027027027
0.69	0.027027027
0.7	0.0
0.71	0.0
0.72	0.0
0.73	0.0
0.74	0.0
0.75	0.0
0.76	0.0
0.77	0.0
0.78	0.0
0.79	0.0
0.8	0.0
0.81	0.0
0.82	0.0
0.83	0.0
0.84	0.0
0.85	0.0
0.86	0.0
0.87	0.0
0.88	0.0
0.89	0.0
0.9	0.0
0.91	0.0
0.92	0.0
0.93	0.0
0.94	0.0
0.95	0.0
0.96	0.0
0.97	0.0
0.98	0.0
0.99	0.0
1.0	0.0
#  PlanetScope 0d06 Band 2 Green
#
#  Wavelength#   (microns)	Relative response
#  __________	___________
0.32	0.0
0.33	0.0
0.34	0.0
0.35	0.0
0.36	0.0
0.37	0.0
0.38	0.0
0.39	0.0
0.4	0.0
0.41	0.0
0.42	0.0
0.43	0.0
0.44	0.0
0.45	0.029411765
0.46	0.205882353
0.47	0.352941176
0.48	0.441176471
0.49	0.470588235
0.5	0.588235294
0.51	0.764705882
0.52	0.911764706
0.53	0.970588235
0.54	1.0
0.55	0.941176471
0.56	0.852941176
0.57	0.764705882
0.58	0.647058824
0.59	0.5
0.6	0.352941176
0.61	0.176470588
0.62	0.117647059
0.63	0.058823529
0.64	0.058823529
0.65	0.029411765
0.66	0.029411765
0.67	0.058823529
0.68	0.058823529
0.69	0.088235294
0.7	0.0
0.71	0.0
0.72	0.0
0.73	0.0
0.74	0.0
0.75	0.0
0.76	0.0
0.77	0.0
0.78	0.0
0.79	0.0
0.8	0.0
0.81	0.0
0.82	0.0
0.83	0.0
0.84	0.0
0.85	0.0
0.86	0.0
0.87	0.0
0.88	0.0
0.89	0.0
0.9	0.0
0.91	0.0
0.92	0.0
0.93	0.0
0.94	0.0
0.95	0.0
0.96	0.0
0.97	0.0
0.98	0.0
0.99	0.0
1.0	0.0
#  PlanetScope 0d06 Band 3 Red
#
#  Wavelength#   (microns)	Relative response
#  __________	___________
0.32	0.0
0.33	0.0
0.34	0.0
0.35	0.0
0.36	0.0
0.37	0.0
0.38	0.0
0.39	0.0
0.4	0.0
0.41	0.0
0.42	0.0
0.43	0.0
0.44	0.0
0.45	0.0
0.46	0.074074074
0.47	0.111111111
0.48	0.148148148
0.49	0.111111111
0.5	0.148148148
0.51	0.148148148
0.52	0.111111111
0.53	0.111111111
0.54	0.111111111
0.55	0.111111111
0.56	0.111111111
0.57	0.111111111
0.58	0.185185185
0.59	0.481481481
0.6	0.851851852
0.61	1.0
0.62	1.0
0.63	1.0
0.64	0.925925926
0.65	0.888888889
0.66	0.851851852
0.67	0.814814815
0.68	0.703703704
0.69	0.518518519
0.7	0.037037037
0.71	0.0
0.72	0.0
0.73	0.0
0.74	0.0
0.75	0.0
0.76	0.0
0.77	0.0
0.78	0.0
0.79	0.0
0.8	0.0
0.81	0.0
0.82	0.0
0.83	0.0
0.84	0.0
0.85	0.0
0.86	0.0
0.87	0.0
0.88	0.0
0.89	0.0
0.9	0.0
0.91	0.0
0.92	0.0
0.93	0.0
0.94	0.0
0.95	0.0
0.96	0.0
0.97	0.0
0.98	0.0
0.99	0.0
1.0	0.0
#  PlanetScope 0d06 Band 4 NIR
#
#  Wavelength#   (microns)	Relative response
#  __________	___________
0.32	0.0
0.33	0.0
0.34	0.0
0.35	0.0
0.36	0.0
0.37	0.0
0.38	0.0
0.39	0.0
0.4	0.0
0.41	0.0
0.42	0.0
0.43	0.0
0.44	0.0
0.45	0.0
0.46	0.0
0.47	0.0
0.48	0.0
0.49	0.0
0.5	0.0
0.51	0.0
0.52	0.0
0.53	0.0
0.54	0.0
0.55	0.0
0.56	0.0
0.57	0.0
0.58	0.0
0.59	0.0
0.6	0.0
0.61	0.0
0.62	0.0
0.63	0.1
0.64	0.0
0.65	0.0
0.66	0.0
0.67	0.0
0.68	0.0
0.69	0.1
0.7	0.0
0.71	0.0
0.72	0.0
0.73	0.0
0.74	0.0
0.75	0.0
0.76	0.0
0.77	0.4
0.78	0.9
0.79	1.0
0.8	0.9
0.81	0.8
0.82	0.8
0.83	0.7
0.84	0.7
0.85	0.6
0.86	0.5
0.87	0.3
0.88	0.1
0.89	0.0
0.9	0.0
0.91	0.0
0.92	0.0
0.93	0.0
0.94	0.0
0.95	0.0
0.96	0.0
0.97	0.0
0.98	0.0
0.99	0.0
1.0	0.0
