# QV 2018-03-12 from PlanetScope Excel file
# 
# https://support.planet.com/hc/en-us/article_attachments/360000960267/relative_spectral_response_median_per_ps_sat_group.xlsx
#
#  PlanetScope 0e Band 1 Blue
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.4	0.013
0.41	0.020
0.42	0.007
0.43	0.012
0.44	0.039
0.45	0.175
0.46	0.875
0.47	1.000
0.48	0.997
0.49	0.945
0.5	0.836
0.51	0.705
0.52	0.525
0.53	0.366
0.54	0.285
0.55	0.208
0.56	0.135
0.57	0.090
0.58	0.074
0.59	0.065
0.6	0.056
0.61	0.050
0.62	0.051
0.63	0.056
0.64	0.072
0.65	0.092
0.66	0.117
0.67	0.130
0.68	0.116
0.69	0.099
0.7	0.013
0.71	0.000
0.72	0.000
0.73	0.000
0.74	0.000
0.75	0.000
0.76	0.000
0.77	0.000
0.78	0.000
0.79	0.000
0.8	0.001
0.81	0.006
0.82	0.006
0.83	0.004
0.84	0.004
0.85	0.007
0.86	0.013
0.87	0.015
0.88	0.013
0.89	0.009
0.9	0.006
0.91	0.005
0.92	0.005
0.93	0.005
0.94	0.005
0.95	0.005
0.96	0.005
0.97	0.004
0.98	0.003
0.99	0.002
#
#  PlanetScope 0e Band 2 Green
#
#  Wavelength
#   (microns)	Reflectance
#  __________	___________
0.4	0.005
0.41	0.006
0.42	0.004
0.43	0.005
0.44	0.009
0.45	0.038
0.46	0.187
0.47	0.258
0.48	0.378
0.49	0.531
0.5	0.675
0.51	0.826
0.52	0.934
0.53	0.988
0.54	1.000
0.55	0.956
0.56	0.892
0.57	0.804
0.58	0.687
0.59	0.538
0.6	0.376
0.61	0.241
0.62	0.163
0.63	0.139
0.64	0.121
0.65	0.107
0.66	0.106
0.67	0.122
0.68	0.150
0.69	0.133
0.7	0.026
0.71	0.002
0.72	0.000
0.73	0.000
0.74	0.000
0.75	0.000
0.76	0.000
0.77	0.000
0.78	0.000
0.79	0.000
0.8	0.001
0.81	0.006
0.82	0.005
0.83	0.003
0.84	0.004
0.85	0.007
0.86	0.011
0.87	0.013
0.88	0.011
0.89	0.008
0.9	0.006
0.91	0.005
0.92	0.004
0.93	0.004
0.94	0.005
0.95	0.005
0.96	0.004
0.97	0.003
0.98	0.003
0.99	0.002
#
#  PlanetScope 0c Band 3 Red
#
#  Wavelength
#   (microns)	Reflectance
#  __________	___________
0.4	0.004
0.41	0.004
0.42	0.001
0.43	0.002
0.44	0.002
0.45	0.008
0.46	0.027
0.47	0.029
0.48	0.031
0.49	0.030
0.5	0.027
0.51	0.032
0.52	0.048
0.53	0.062
0.54	0.042
0.55	0.022
0.56	0.023
0.57	0.066
0.58	0.384
0.59	0.864
0.6	0.980
0.61	1.000
0.62	0.986
0.63	0.978
0.64	0.944
0.65	0.910
0.66	0.880
0.67	0.833
0.68	0.796
0.69	0.551
0.7	0.088
0.71	0.007
0.72	0.001
0.73	0.000
0.74	0.000
0.75	0.000
0.76	0.000
0.77	0.000
0.78	0.000
0.79	0.000
0.8	0.002
0.81	0.009
0.82	0.006
0.83	0.004
0.84	0.005
0.85	0.007
0.86	0.012
0.87	0.015
0.88	0.012
0.89	0.009
0.9	0.006
0.91	0.005
0.92	0.005
0.93	0.005
0.94	0.005
0.95	0.005
0.96	0.005
0.97	0.004
0.98	0.003
0.99	0.002
#
#  PlanetScope 0c Band 4 NIR
#
#  Wavelength
#   (microns)	Reflectance
#  __________	___________
0.43	0.002
0.44	0.000
0.45	0.001
0.46	0.001
0.47	0.002
0.48	0.005
0.49	0.001
0.5	0.001
0.51	0.002
0.52	0.002
0.53	0.001
0.54	0.002
0.55	0.002
0.56	0.002
0.57	0.003
0.58	0.004
0.59	0.006
0.6	0.002
0.61	0.002
0.62	0.005
0.63	0.004
0.64	0.002
0.65	0.003
0.66	0.003
0.67	0.014
0.68	0.007
0.69	0.059
0.7	0.014
0.71	0.002
0.72	0.007
0.73	0.001
0.74	0.001
0.75	0.004
0.76	0.139
0.77	0.822
0.78	1.000
0.79	0.960
0.8	0.918
0.81	0.849
0.82	0.800
0.83	0.761
0.84	0.702
0.85	0.652
0.86	0.609
0.87	0.522
0.88	0.133
0.89	0.008
