# QV 2018-03-12 from PlanetScope Excel file
# 
# https://support.planet.com/hc/en-us/article_attachments/360000960267/relative_spectral_response_median_per_ps_sat_group.xlsx
#
#  PlanetScope 0f Band 1 Blue
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.4	0.004
0.41	0.004
0.42	0.004
0.43	0.005
0.44	0.010
0.45	0.473
0.46	0.962
0.47	0.995
0.48	1.000
0.49	0.942
0.5	0.829
0.51	0.712
0.52	0.549
0.53	0.377
0.54	0.285
0.55	0.215
0.56	0.145
0.57	0.096
0.58	0.077
0.59	0.065
0.6	0.056
0.61	0.050
0.62	0.049
0.63	0.053
0.64	0.065
0.65	0.084
0.66	0.107
0.67	0.123
0.68	0.063
#
#  PlanetScope 0f Band 2 Green
#
#  Wavelength
#   (microns)	Reflectance
#  __________	___________
0.4	0.004
0.41	0.004
0.42	0.004
0.43	0.004
0.44	0.005
0.45	0.100
0.46	0.204
0.47	0.246
0.48	0.368
0.49	0.514
0.5	0.656
0.51	0.814
0.52	0.938
0.53	0.993
0.54	1.000
0.55	0.974
0.56	0.915
0.57	0.820
0.58	0.711
0.59	0.567
0.6	0.399
0.61	0.257
0.62	0.171
0.63	0.145
0.64	0.124
0.65	0.110
0.66	0.104
0.67	0.114
0.68	0.067
#
#  PlanetScope 0f Band 3 Red
#
#  Wavelength
#   (microns)	Reflectance
#  __________	___________
0.4	0.001
0.41	0.001
0.42	0.001
0.43	0.001
0.44	0.001
0.45	0.019
0.46	0.030
0.47	0.029
0.48	0.032
0.49	0.031
0.5	0.028
0.51	0.031
0.52	0.048
0.53	0.067
0.54	0.049
0.55	0.024
0.56	0.021
0.57	0.048
0.58	0.283
0.59	0.817
0.6	0.982
0.61	1.000
0.62	0.980
0.63	0.979
0.64	0.945
0.65	0.919
0.66	0.877
0.67	0.833
0.68	0.397
0.69	0.001
#
#  PlanetScope 0f Band 4 NIR
#
#  Wavelength
#   (microns)	Reflectance
#  __________	___________
0.45	0.002
0.46	0.002
0.47	0.001
0.48	0.000
0.49	0.000
0.5	0.000
0.51	0.001
0.52	0.002
0.53	0.001
0.54	0.001
0.55	0.002
0.56	0.002
0.57	0.002
0.58	0.001
0.59	0.000
0.6	0.000
0.61	0.000
0.62	0.000
0.63	0.001
0.64	0.002
0.65	0.003
0.66	0.003
0.67	0.003
0.68	0.002
0.69	0.000
0.7	0.000
0.71	0.000
0.72	0.000
0.73	0.000
0.74	0.001
0.75	0.007
0.76	0.162
0.77	0.994
0.78	1.000
0.79	0.924
0.8	0.869
0.81	0.814
0.82	0.759
0.83	0.711
0.84	0.656
0.85	0.604
0.86	0.557
0.87	0.239
0.88	0.004
