# QV 2021-02-02 from CesBio TXT file https://labo.obs-mip.fr/wp-content-labo/uploads/sites/19/2018/09/rep6S.txt
#
#  Venµs VSSC Band 1
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.39	0.00000000
0.3925	0.00000000
0.395	0.00000000
0.3975	0.00194999
0.4	0.03380869
0.4025	0.06382489
0.405	0.10505648
0.4075	0.15293020
0.41	0.22054551
0.4125	0.29271133
0.415	0.37082427
0.4175	0.46086973
0.42	0.53831804
0.4225	0.61671905
0.425	0.67697903
0.4275	0.69482350
0.43	0.81430390
0.4325	0.95447428
0.435	0.49435266
0.4375	0.00567942
0.44	0.00089027
0.4425	0.00066070
0.445	0.00151721
0.4475	0.00200410
0.45	0.00227408
0.4525	0.00303180
0.455	0.00000000
0.4575	0.00000000
0.46	0.00000000
0.4625	0.00000000
0.465	0.00000000
0.4675	0.00000000
0.47	0.00000000
0.4725	0.00000000
0.475	0.00000000
0.4775	0.00000000
0.48	0.00000000
0.4825	0.00000000
0.485	0.00000000
0.4875	0.00000000
0.49	0.00000000
0.4925	0.00000000
0.495	0.00000000
0.4975	0.00000000
0.5	0.00000000
0.5025	0.00000000
0.505	0.00000000
0.5075	0.00000000
0.51	0.00000000
0.5125	0.00000000
0.515	0.00000000
0.5175	0.00000000
0.52	0.00000000
0.5225	0.00000000
0.525	0.00000000
0.5275	0.00000000
0.53	0.00000000
0.5325	0.00000000
0.535	0.00000000
0.5375	0.00000000
0.54	0.00000000
0.5425	0.00000000
0.545	0.00000000
0.5475	0.00000000
0.55	0.00000000
0.5525	0.00000000
0.555	0.00000000
0.5575	0.00000000
0.56	0.00000000
0.5625	0.00000000
0.565	0.00000000
0.5675	0.00000000
0.57	0.00000000
0.5725	0.00000000
0.575	0.00000000
0.5775	0.00000000
0.58	0.00000000
0.5825	0.00000000
0.585	0.00000000
0.5875	0.00000000
0.59	0.00000000
0.5925	0.00000000
0.595	0.00000000
0.5975	0.00000000
0.6	0.00000000
0.6025	0.00000000
0.605	0.00000000
0.6075	0.00000000
0.61	0.00000000
0.6125	0.00000000
0.615	0.00000000
0.6175	0.00000000
0.62	0.00000000
0.6225	0.00000000
0.625	0.00000000
0.6275	0.00000000
0.63	0.00000000
0.6325	0.00000000
0.635	0.00000000
0.6375	0.00000000
0.64	0.00000000
0.6425	0.00000000
0.645	0.00000000
0.6475	0.00000000
0.65	0.00000000
0.6525	0.00000000
0.655	0.00000000
0.6575	0.00000000
0.66	0.00000000
0.6625	0.00000000
0.665	0.00000000
0.6675	0.00000000
0.67	0.00000000
0.6725	0.00000000
0.675	0.00000000
0.6775	0.00000000
0.68	0.00000000
0.6825	0.00000000
0.685	0.00000000
0.6875	0.00000000
0.69	0.00000000
0.6925	0.00000000
0.695	0.00000000
0.6975	0.00000000
0.7	0.00000000
0.7025	0.00000000
0.705	0.00000000
0.7075	0.00000000
0.71	0.00000000
0.7125	0.00000000
0.715	0.00000000
0.7175	0.00000000
0.72	0.00000000
0.7225	0.00000000
0.725	0.00000000
0.7275	0.00000000
0.73	0.00000000
0.7325	0.00000000
0.735	0.00000000
0.7375	0.00000000
0.74	0.00000000
0.7425	0.00000000
0.745	0.00000000
0.7475	0.00000000
0.75	0.00000000
0.7525	0.00000000
0.755	0.00000000
0.7575	0.00000000
0.76	0.00000000
0.7625	0.00000000
0.765	0.00000000
0.7675	0.00000000
0.77	0.00000000
0.7725	0.00000000
0.775	0.00000000
0.7775	0.00000000
0.78	0.00000000
0.7825	0.00000000
0.785	0.00000000
0.7875	0.00000000
0.79	0.00000000
0.7925	0.00000000
0.795	0.00000000
0.7975	0.00000000
0.8	0.00000000
0.8025	0.00000000
0.805	0.00000000
0.8075	0.00000000
0.81	0.00000000
0.8125	0.00000000
0.815	0.00000000
0.8175	0.00000000
0.82	0.00000000
0.8225	0.00000000
0.825	0.00000000
0.8275	0.00000000
0.83	0.00000000
0.8325	0.00000000
0.835	0.00000000
0.8375	0.00000000
0.84	0.00000000
0.8425	0.00000000
0.845	0.00000000
0.8475	0.00000000
0.85	0.00000000
0.8525	0.00000000
0.855	0.00000000
0.8575	0.00000000
0.86	0.00000000
0.8625	0.00000000
0.865	0.00000000
0.8675	0.00000000
0.87	0.00000000
0.8725	0.00000000
0.875	0.00000000
0.8775	0.00000000
0.88	0.00000000
0.8825	0.00000000
0.885	0.00000000
0.8875	0.00000000
0.89	0.00000000
0.8925	0.00000000
0.895	0.00000000
0.8975	0.00000000
0.9	0.00000000
0.9025	0.00000000
0.905	0.00000000
0.9075	0.00000000
0.91	0.00000000
0.9125	0.00000000
0.915	0.00000000
0.9175	0.00000000
0.92	0.00000000
0.9225	0.00000000
0.925	0.00000000
0.9275	0.00000000
0.93	0.00000000
0.9325	0.00000000
0.935	0.00000000
0.9375	0.00000000
0.94	0.00000000
#
#  Venµs VSSC Band 2
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.39	0.00000000
0.3925	0.00000000
0.395	0.00000000
0.3975	0.00000000
0.4	0.00000000
0.4025	0.00000000
0.405	0.00000000
0.4075	0.00000000
0.41	0.00000000
0.4125	0.00000000
0.415	0.00000000
0.4175	0.00093340
0.42	0.06120548
0.4225	0.12475042
0.425	0.13985119
0.4275	0.15671817
0.43	0.18963608
0.4325	0.23693657
0.435	0.29597877
0.4375	0.37047272
0.44	0.43574804
0.4425	0.51389397
0.445	0.58586169
0.4475	0.68607850
0.45	0.76091665
0.4525	0.87864866
0.455	0.91288008
0.4575	0.96293260
0.46	0.41075316
0.4625	0.00948456
0.465	0.00000000
0.4675	0.00000000
0.47	0.00000000
0.4725	0.00000000
0.475	0.00000000
0.4775	0.00000000
0.48	0.00000000
0.4825	0.00000000
0.485	0.00000000
0.4875	0.00000000
0.49	0.00000000
0.4925	0.00000000
0.495	0.00000000
0.4975	0.00000000
0.5	0.00000000
0.5025	0.00000000
0.505	0.00000000
