# QV 2020-07-22 from Maxar TXT file provided by Michele Kuester
#
#  WorldView 3 Band 1 COASTAL
#
#  Wavelength
#   (microns)	Relative response
#  __________	___________
0.35	2.85346E-08
0.351	2.72127E-08
0.352	2.52675E-08
0.353	1.95088E-08
0.354	1.39544E-08
0.355	1.71266E-08
0.356	2.37258E-08
0.357	1.47054E-08
0.358	1.63789E-08
0.359	1.44494E-08
0.36	1.36199E-08
0.361	9.45851E-09
0.362	1.07289E-08
0.363	1.09637E-08
0.364	1.06493E-08
0.365	1.24339E-08
0.366	1.48272E-08
0.367	1.41924E-08
0.368	1.24369E-08
0.369	1.26663E-08
0.37	1.43408E-08
0.371	1.5529E-08
0.372	2.47966E-08
0.373	2.31209E-08
0.374	2.31955E-08
0.375	2.6303E-08
0.376	3.98533E-08
0.377	1.06032E-07
0.378	2.845E-07
0.379	6.64315E-07
0.38	1.62363E-06
0.381	3.94124E-06
0.382	7.96483E-06
0.383	1.39975E-05
0.384	2.1156E-05
0.385	3.00438E-05
0.386	5.48071E-05
0.387	9.33197E-05
0.388	0.000139953
0.389	0.000227124
0.39	0.000475008
0.391	0.000861522
0.392	0.001463897
0.393	0.002529713
0.394	0.006735697
0.395	0.018575975
0.396	0.034619713
0.397	0.053292871
0.398	0.12400142
0.399	0.213612434
0.4	0.305115065
0.401	0.399470662
0.402	0.467192161
0.403	0.529490886
0.404	0.557515941
0.405	0.57591938
0.406	0.590346778
0.407	0.603239135
0.408	0.620476666
0.409	0.639169896
0.41	0.648780601
0.411	0.65559248
0.412	0.668504746
0.413	0.682792494
0.414	0.697568508
0.415	0.712588448
0.416	0.727075061
0.417	0.741351413
0.418	0.754752002
0.419	0.76768749
0.42	0.778487079
0.421	0.788551659
0.422	0.797011096
0.423	0.805644609
0.424	0.817088367
0.425	0.82853207
0.426	0.840768083
0.427	0.853299804
0.428	0.864329814
0.429	0.874791057
0.43	0.881852336
0.431	0.888422507
0.432	0.886541421
0.433	0.882972682
0.434	0.888270234
0.435	0.894989112
0.436	0.907332021
0.437	0.92060686
0.438	0.935000543
0.439	0.949731034
0.44	0.962120755
0.441	0.973807924
0.442	0.982343494
0.443	0.990457291
0.444	0.995282402
0.445	1
0.446	0.974948539
0.447	0.945329916
0.448	0.811255947
0.449	0.663602872
0.45	0.474345102
0.451	0.278715754
0.452	0.171196145
0.453	0.072559774
0.454	0.042456365
0.455	0.01974731
0.456	0.010055817
0.457	0.004716261
0.458	0.002799573
0.459	0.001647574
0.46	0.001078931
0.461	0.000657672
0.462	0.000416353
0.463	0.000267851
0.464	0.000180508
0.465	9.58949E-05
0.466	8.11699E-05
0.467	6.01596E-05
0.468	3.85821E-05
0.469	2.48982E-05
0.47	1.60424E-05
0.471	1.11499E-05
0.472	9.24236E-06
0.473	7.10526E-06
0.474	5.85974E-06
0.475	4.20013E-06
0.476	3.90256E-06
0.477	3.24956E-06
0.478	2.4523E-06
0.479	2.16051E-06
0.48	1.50034E-06
0.481	1.22009E-06
0.482	8.24261E-07
0.483	7.34437E-07
0.484	4.90657E-07
0.485	4.82298E-07
0.486	5.06398E-07
0.487	4.09174E-07
0.488	4.14123E-07
0.489	3.93187E-07
0.49	2.65016E-07
0.491	1.82064E-07
0.492	2.6776E-07
0.493	3.10813E-07
0.494	1.60253E-07
0.495	8.41094E-08
0.496	1.32923E-07
0.497	2.0699E-07
0.498	4.18523E-07
0.499	1.80126E-07
0.5	1.05676E-07
0.501	1.39185E-07
0.502	1.09403E-07
0.503	3.90725E-07
0.504	8.89203E-08
0.505	1.35242E-07
0.506	2.69282E-07
0.507	3.55881E-07
0.508	1.71351E-07
0.509	1.44474E-07
0.51	1.85412E-07
0.511	2.47192E-07
0.512	1.53993E-07
0.513	9.15076E-08
0.514	1.29159E-07
0.515	5.62075E-08
0.516	1.38871E-07
0.517	3.10995E-07
0.518	1.65926E-07
0.519	1.71521E-07
0.52	8.77766E-08
0.521	2.76247E-07
0.522	2.92465E-07
0.523	1.91491E-07
0.524	1.06311E-07
0.525	9.61684E-08
0.526	2.18736E-07
0.527	4.27122E-07
0.528	1.43413E-07
0.529	2.21423E-07
0.53	1.86775E-07
0.531	2.19595E-07
0.532	4.28714E-07
0.533	2.39101E-07
0.534	5.64433E-07
0.535	9.45249E-07
0.536	5.3018E-07
0.537	3.00938E-07
0.538	8.01674E-08
0.539	3.29913E-07
0.54	1.84239E-07
0.541	2.40855E-07
0.542	3.74929E-08
0.543	6.66723E-08
0.544	2.85329E-08
0.545	9.10182E-08
0.546	1.71346E-07
0.547	7.54098E-08
0.548	1.01746E-07
0.549	1.33242E-07
0.55	2.57338E-07
0.551	1.98121E-07
0.552	1.68954E-07
0.553	4.13884E-07
0.554	8.62762E-08
0.555	6.21814E-08
0.556	1.02267E-07
0.557	6.86724E-08
0.558	1.32242E-07
0.559	8.39105E-08
0.56	1.61251E-07
0.561	1.13161E-07
0.562	5.87236E-08
0.563	1.02568E-07
0.564	6.44421E-08
0.565	4.17267E-08
0.566	1.39666E-07
0.567	1.42992E-07
0.568	7.61978E-08
0.569	5.34493E-08
0.57	1.02234E-08
0.571	2.10425E-08
0.572	3.3395E-08
0.573	9.07078E-08
0.574	7.56369E-08
0.575	1.08665E-07
0.576	2.44766E-07
0.577	1.40957E-07
0.578	1.44439E-07
0.579	1.98183E-07
0.58	2.00173E-07
0.581	9.92815E-08
0.582	1.09873E-07
0.583	8.89083E-08
0.584	4.65396E-07
0.585	5.66048E-07
0.586	2.31119E-07
0.587	3.12468E-07
0.588	2.38285E-07
0.589	2.63105E-07
0.59	1.15503E-07
0.591	1.05663E-07
0.592	3.20391E-07
0.593	9.41715E-08
0.594	9.72716E-08
0.595	1.23644E-07
0.596	1.30677E-07
0.597	3.36926E-07
0.598	8.93023E-08
0.599	2.37733E-07
0.6	7.42015E-07
0.601	1.04909E-06
0.602	6.69721E-07
0.603	6.88154E-07
0.604	5.80844E-07
0.605	3.50941E-07
0.606	2.27916E-07
0.607	2.46675E-07
0.608	2.40032E-07
0.609	6.51665E-07
0.61	2.28507E-07
0.611	1.95701E-07
0.612	1.59187E-07
0.613	3.64371E-07
0.614	5.96623E-07
0.615	5.95249E-07
0.616	4.45335E-07
0.617	6.97036E-07
0.618	9.47466E-07
0.619	1.11061E-06
0.62	9.71483E-07
0.621	9.70755E-07
0.622	9.46106E-07
0.623	1.02564E-06
0.624	1.37514E-06
0.625	2.18539E-06
0.626	1.68709E-06
0.627	5.06069E-07
0.628	2.14593E-07
0.629	3.28573E-07
0.63	4.28151E-07
0.631	1.58695E-07
0.632	1.98832E-07
0.633	1.84389E-07
0.634	1.12882E-07
0.635	1.03662E-07
0.636	1.47968E-07
0.637	3.47405E-08
0.638	1.12438E-07
0.639	1.19228E-07
0.64	1.9762E-07
0.641	2.56378E-07
0.642	1.04802E-07
0.643	1.89103E-07
0.644	6.8834E-08
0.645	6.13822E-08
0.646	3.36234E-08
0.647	4.72044E-08
0.648	1.44296E-07
0.649	2.38059E-07
0.65	2.03342E-07
0.651	2.30654E-07
0.652	8.89832E-08
0.653	1.53396E-07
0.654	1.11389E-07
0.655	1.04405E-07
0.656	4.14169E-08
0.657	4.13756E-08
0.658	2.45072E-07
0.659	4.05002E-07
0.66	9.10412E-08
0.661	2.11358E-07
0.662	1.48894E-07
0.663	2.22233E-07
0.664	3.51716E-07
0.665	8.85198E-08
0.666	1.08387E-07
0.667	1.87663E-07
0.668	1.14422E-07
0.669	1.05472E-07
0.67	5.6497E-08
0.671	1.35349E-07
0.672	1.14199E-07
0.673	1.13207E-07
0.674	9.77616E-08
0.675	7.70807E-08
0.676	1.26016E-07
0.677	1.72477E-07
0.678	2.5999E-07
0.679	2.08737E-07
0.68	6.92624E-08
0.681	5.52839E-08
0.682	1.04247E-07
0.683	2.35064E-07
0.684	2.35934E-07
0.685	1.69699E-07
0.686	1.45641E-07
0.687	8.91338E-08
0.688	2.01746E-07
0.689	2.15252E-07
0.69	3.07042E-08
0.691	5.93541E-08
0.692	2.95393E-07
0.693	5.0414E-07
0.694	3.21239E-07
0.695	1.78887E-07
0.696	2.40693E-07
0.697	3.61793E-07
0.698	3.4576E-07
0.699	1.57982E-07
0.7	1.15685E-07
0.701	3.70085E-07
0.702	4.68302E-07
0.703	2.83789E-07
0.704	2.1185E-07
0.705	1.40092E-07
0.706	9.5282E-08
0.707	1.64425E-07
0.708	1.54114E-07
0.709	8.55359E-08
0.71	1.02676E-07
0.711	2.77301E-08
0.712	3.50814E-08
0.713	8.97489E-08
0.714	1.27704E-07
0.715	3.70098E-07
0.716	3.53759E-07
0.717	1.54999E-07
0.718	1.29575E-07
0.719	1.21648E-07
0.72	1.87246E-07
0.721	1.46532E-07
0.722	7.01412E-08
0.723	1.66821E-08
0.724	5.6682E-08
0.725	1.24804E-07
0.726	1.84324E-07
0.727	1.20577E-07
0.728	5.63465E-08
0.729	3.12026E-08
0.73	2.19948E-10
0.731	1.72535E-07
0.732	1.64365E-07
0.733	8.07254E-08
0.734	2.54068E-07
0.735	1.98149E-07
0.736	2.57033E-09
0.737	4.61207E-08
0.738	1.51856E-07
0.739	3.87326E-07
0.74	3.18398E-07
0.741	6.38029E-08
0.742	1.42297E-08
0.743	5.16619E-07
0.744	6.73697E-07
0.745	2.63185E-07
0.746	8.94162E-08
0.747	2.29315E-07
0.748	3.82076E-07
0.749	3.49415E-07
0.75	3.63616E-07
0.751	6.98868E-07
0.752	7.39503E-07
0.753	6.3608E-07
0.754	7.47918E-07
0.755	5.08394E-07
0.756	4.3342E-07
0.757	7.27063E-07
0.758	4.74173E-07
0.759	2.79073E-07
0.76	2.69828E-07
0.761	4.26644E-07
0.762	5.7389E-07
0.763	4.30777E-07
0.764	2.47738E-07
0.765	3.84963E-07
0.766	4.06639E-07
0.767	6.73006E-07
