% Combined data for Waterradiance	pure water absorption, salinity and temperature coefficient	related uncertainties		
% see relevant ATBD for more details!
% R. Rˆttgers, HZG
%Wavelength 	a (m-1), 20degreeC, 0 PSU	PsiS (m-1 PSU-1)	PsiT (m-1 degreeC-1)	sigma a (m-1)	sigmaPsiS  (m-1 PSU-1)	sigmaPsiT (m-1 degreeC-1)
300	0.053592	0	0	0.002144	0.000076	0.000231
302	0.0502	0	0	0.002008	0.000053	0.000212
304	0.0501	0	0	0.002004	0.000028	0.000243
306	0.0467	0	0	0.001868	0.000042	0.000229
308	0.0442	0	0	0.001768	0.000029	0.000199
310	0.0415	0	0	0.00166	0.000039	0.00025
312	0.0388	0	0	0.001552	0.00003	0.000285
314	0.0359	0	0	0.001436	0.000034	0.000221
316	0.0355	0	0	0.00142	0.000029	0.000205
318	0.0354	0	0	0.001416	0.00004	0.000174
320	0.0348	0	0	0.001392	0.000035	0.000243
322	0.0335	0	0	0.00134	0.000039	0.000123
324	0.0325	0	0	0.0013	0.000042	0.000224
326	0.0312	0	0	0.001248	0.000029	0.000183
328	0.0282	0	0	0.001128	0.000035	0.000212
330	0.0256	0	0	0.001024	0.000027	0.000174
332	0.0241	0	0	0.000964	0.00003	0.000155
334	0.0223	0	0	0.000892	0.000033	0.000141
336	0.0208	0	0	0.000832	0.000034	0.000174
338	0.0196	0	0	0.000784	0.000026	0.000176
340	0.0181	0	0	0.000724	0.000023	0.000148
342	0.017	0	0	0.00068	0.000016	0.000128
344	0.0161	0	0	0.000644	0.000036	0.000223
346	0.0155	0	0	0.00062	0.000038	0.000108
348	0.0151	0	0	0.000604	0.000033	0.000195
350	0.015	0	0	0.0006	0.000033	0.000184
352	0.0148	0	0	0.000592	0.000025	0.000148
354	0.0147	0	0	0.000588	0.000022	0.000148
356	0.0145	0	0	0.00058	0.000032	0.000128
358	0.0143	0	0	0.000572	0.00003	0.000243
360	0.0141	0	0	0.000564	0.000027	0.000118
362	0.0141	0	0	0.000564	0.000036	0.000155
364	0.014	0	0	0.00056	0.000022	0.000189
366	0.014	0	0	0.00056	0.000019	0.000101
368	0.014	0	0	0.00056	0.000031	0.00017
370	0.0138	0	0	0.000552	0.000028	0.000113
372	0.0135	0	0	0.00054	0.000048	0.000183
374	0.0136	0	0	0.000544	0.000016	0.000131
376	0.0127	0	0	0.000508	0.000023	0.000141
378	0.0121	0	0	0.000484	0.000046	0.000102
380	0.011435	0	0.000026	0.000092	0.00002	0.000126
382	0.010725	0	0.000017	0.000035	0.000021	0.000126
384	0.010113	0	-0.000002	0.000265	0.000021	0.00014
386	0.00959	0	-0.000014	0.000368	0.000022	0.000141
388	0.00915	0	0.000013	0.000028	0.000025	0.000102
390	0.008525	0	0.000017	0.000021	0.000032	0.000079
392	0.008332	0	0.000003	0.000045	0.000013	0.000069
394	0.007985	0	-0.000002	0.000318	0.000016	0.000064
396	0.007607	0	-0.000006	0.000561	0.000009	0.00005
398	0.00745	0	-0.000011	0.000424	0.000027	0.000043
400	0.00677	0	-0.000008	0.000198	0.000042	0.000044
402	0.00624	0	-0.000003	0.00024	0.000012	0.000044
404	0.005888	0	-0.000005	0.000484	0.000022	0.000042
406	0.005585	0	-0.000014	0.00053	0.000017	0.000039
408	0.00527	0	-0.000029	0.000339	0.000017	0.000045
410	0.004985	0	-0.00003	0.000361	0.000028	0.000047
412	0.004805	0	-0.000018	0.000304	0.00003	0.00004
414	0.004635	0	-0.000006	0.000219	0.000015	0.000034
416	0.004632	0	-0.000005	0.00028	0.000017	0.000033
418	0.004565	0	-0.000016	0.000205	0.000016	0.000036
420	0.00464	0	-0.000023	0.000141	0.000023	0.000039
422	0.004812	0	-0.000026	0.000196	0.000012	0.00004
