## Pure water backscattering
## From Jaime Pitarch 4 Feb 2021
## retabulated to csv QV 2021-02-15
## changed sensor names to fit ACOLITE names
## copied PlanetScope SD5/SD8 coeffs from PS22 2022-02-21
## added new L9/OLI coeffs 2022-02-21
sensor,B,G,R
L4_TM,0.0014823,0.00075321,0.00041199
L5_TM,0.0014823,0.00075865,0.00041199
L7_ETM,0.00157615,0.00081099,0.00040944
L8_OLI,0.001521675,0.00081099,0.0004252
L9_OLI,0.001535,0.00081099,0.00042795
S2A_MSI,0.0014074,0.00081695,0.00039928
S2B_MSI,0.00140745,0.0008232,0.00039928
PHR1A,0.001303875,0.00081099,0.00043895
PHR1B,0.001260925,0.00082945,0.00040436
PlanetScope_0c,0.0013955,0.00093675,0.00053074
PlanetScope_0d05,0.0013955,0.00093675,0.00053074
PlanetScope_0d06,0.0013955,0.00093675,0.00053074
PlanetScope_0e,0.001142225,0.00086785,0.00049014
PlanetScope_0f,0.0012504,0.0009083,0.0005167
PlanetScope_22,0.00140745,0.00078145,0.00039684
PlanetScope_SD5,0.00140745,0.00078145,0.00039684
PlanetScope_SD8,0.00140745,0.00078145,0.00039684
RapidEye,0.0016043,0.00084195,0.00041727
WorldView2,0.00157615,0.0008945,0.00041463
WorldView3,0.001535,0.0009014,0.00041199
VENµS_VSSC,0.00140745,0.0008482,0.00039684
