## Coefficient for Raman scattering correction
## From Jaime Pitarch 4 Feb 2021
## retabulated to csv QV 2021-02-15
## changed sensor names to fit ACOLITE names
## copied PlanetScope SD5/SD8 coeffs from PS22 2022-02-21
## added new L9/OLI coeffs 2022-02-21
sensor,B,G,R
L4_TM,0.011143,0.01,0.01
L5_TM,0.01111,0.01,0.01
L7_ETM,0.011645,0.01,0.01
L8_OLI,0.011243,0.01,0.01
L9_OLI,0.011262062737905,0.01,0.01
S2A_MSI,0.010752279885563,0.01,0.01
S2B_MSI,0.010772,0.01,0.01
PHR1A,0.011072,0.01,0.010063
PHR1B,0.010832,0.01,0.010071
PlanetScope_0c,0.011065,0.010194,0.010067
PlanetScope_0d05,0.011065,0.010194,0.010067
PlanetScope_0d06,0.011065,0.010194,0.010067
PlanetScope_0e,0.010879,0.010162,0.010026
PlanetScope_0f,0.011003,0.010182,0.010032
PlanetScope_22,0.010664,0.01,0.01
PlanetScope_SD5,0.010664,0.01,0.01
PlanetScope_SD8,0.010664,0.01,0.01
RapidEye,0.011742,0.010002,0.01
WorldView2,0.011509,0.01,0.01
WorldView3,0.011294,0.01,0.01
VENµS_VSSC,0.010416,0.01,0.01
