## Coefficients to pass from Rrs band ratio to atmw(555)
## From Jaime Pitarch 4 Feb 2021
## retabulated to csv QV 2021-02-15
## updated with new coeffs 2021-02-24
## changed sensor names to fit ACOLITE names
## copied PlanetScope SD5/SD8 coeffs from PS22 2022-02-21
## added new L9/OLI coeffs 2022-02-21
sensor,p3,p2,p1,p0
L4_TM,-0.104185064342788,-0.231839824679516,-1.10221459977946,-1.08595112551198
L5_TM,-0.102486723448107,-0.234176018019749,-1.10966718215699,-1.0852312415193
L7_ETM,-0.082584949751395,-0.264971350551642,-1.15697009062277,-1.14697345946071
L8_OLI,-0.069891686273557,-0.245663039498698,-1.17869244834982,-1.15466593662751
L9_OLI,-0.073961148265028,-0.251556674261064,-1.18025913365479,-1.15890167289923
S2A_MSI,-0.084090974131552,-0.357065143073036,-1.33678281975329,-1.09651294486224
S2B_MSI,-0.069896481890501,-0.34548505061116,-1.34070946895769,-1.09688691591407
PHR1A,-0.225498502682596,-0.432378777120222,-1.30192861179753,-1.13822814448589
PHR1B,-0.299462342951619,-0.595774630899472,-1.36583937976338,-1.06297070226271
PlanetScope_0c,-0.505934200027865,-0.746294528333874,-1.51219752875338,-1.30411780050032
PlanetScope_0d05,-0.528473425875665,-0.77674725479027,-1.51751986599507,-1.30207912930516
PlanetScope_0d06,-0.518248940623488,-0.759910576246882,-1.51413762080157,-1.30412547487572
PlanetScope_0e,-0.774599973826499,-0.803764415516005,-1.46749418844586,-1.27228377402292
PlanetScope_0f,-0.679643957926216,-0.743041922324077,-1.4532188424702,-1.28734134401535
PlanetScope_22,-0.06046535626378,-0.26791946854428,-1.24410173152262,-1.08910993230085
PlanetScope_SD5,-0.06046535626378,-0.26791946854428,-1.24410173152262,-1.08910993230085
PlanetScope_SD8,-0.06046535626378,-0.26791946854428,-1.24410173152262,-1.08910993230085
RapidEye,-0.075153449634831,-0.275785870289192,-1.19543149643923,-1.18532706663897
WorldView2,-0.127956125389809,-0.379697519611699,-1.25527032190394,-1.17701946712626
WorldView3,-0.122297495969568,-0.375498424410054,-1.25753524651466,-1.13707401366779
VENµS_VSSC,-0.11458156235064,-0.397638886900759,-1.32553930087662,-1.08491276129544
