"","c 1","c 2","c 3","c 4","c 5","c 6"
"band_1",1,0.210815934033084,-4.72580916800831,0.769536546422127,-0.780616074200736,-0.163030487478462
"band_2",1,0.21004895783795,-4.74755498447365,0.766516873467631,-0.776158062347654,-0.162953838699703
"band_3",1,0.20670511311981,-4.95241062582077,0.762237763515077,-0.777802274552473,-0.163992235900839
"band_4",1,0.598670846871266,-0.775125700745824,0.521308951565409,-5.06317266273112,-0.164267733233053
"band_5",1,0.596235712713454,-0.775331491185648,0.521507594002349,-5.10239595479325,-0.164798327441482
"band_6",1,0.19379968012086,-0.165473589259427,0.736463980408978,-0.776796443880753,-5.16007797681403
"band_7",1,0.194548470999721,-0.166884789810776,0.734486300265125,-0.781233217980629,-5.30195956232138
"band_8",1,0.218371990866304,-5.34002044340364,0.752110625478876,-0.783189537707738,-0.167552459516883
"band_9",1,0.585448101370494,-0.78484585168606,0.533884175996239,-5.37816707708737,-0.168175176877172
"band_10",1,0.192054217819436,-0.169385694612552,0.71807186099672,-0.790483351330479,-5.40593227818291
"band_11",1,0.552007037406766,-0.833809256319987,0.616484265581518,-5.40497010647366,-0.179073299660767
"band_12",1,0.303201861709792,-5.32159396161153,0.217807187268176,-0.186067642703899,-0.879598354535774
"band_13",1,0.533622025014062,-1.04774121051053,0.235522426302232,-0.213957741612699,-5.19837709111804
