"","c 1","c 2","c 3","c 4","c 5","c 6"
"band_1",1,0.147783589691699,-0.167783522065421,0.368877603815374,-7.35313161105698,-0.88920499345942
"band_2",1,0.317935936807371,-6.92602640487855,0.78685967725677,-0.879688148189872,-0.166033231032593
"band_3",1,0.537949527064517,-0.881921729661061,0.687385163648977,-6.64657284407114,-0.166573830048356
"band_4",1,0.537657735113245,-0.87650411294686,0.304333707799222,-0.164737645388028,-6.15137270568319
"band_5",1,0.322225828393808,-6.03946545545853,0.793878413595076,-0.875541251062018,-0.164329160890001
"band_6",1,0.323546304760154,-5.83576503244969,0.204076556283187,-0.164024001483034,-0.873562906343686
"band_7",1,0.323657418611027,-5.73361917784897,0.797588399789678,-0.874888419289954,-0.164304877813058
"band_8",1,0.322804712521734,-5.63754978934629,0.201254306021057,-0.164795712187895,-0.878494222864984
"band_9",1,0.322171711484563,-5.57835471466363,0.800214927351029,-0.879950194498064,-0.164817114815726
"band_10",1,0.32147575123863,-5.44753490038459,0.196327251152495,-0.164561938446412,-0.879920788478011
"band_11",1,0.324062544298938,-4.67831821158439,0.819948979060192,-0.875126399899467,-0.165135438353316
"band_12",1,0.322025020192594,-4.41142593683853,0.173642187835321,-0.167627284712351,-0.880305182957932
"band_13",1,0.323046047670365,-4.2126920068545,0.839308227609841,-0.91545569759293,-0.185403318323929
