"","c 1","c 2","c 3","c 4","c 5","c 6"
"band_1",1,0.209488497263202,-4.75630130219171,0.231199111800471,-0.163802950012201,-0.783780899974716
"band_2",1,0.20451364508819,-4.92277180181105,0.764333834126306,-0.785653851743764,-0.16459356140821
"band_3",1,0.205325275968291,-4.97291848306454,0.238981410311997,-0.164608891860711,-0.781604246524412
"band_4",1,0.598305228674287,-0.777483089107509,0.51935850927103,-5.07749529230188,-0.16496611593311
"band_5",1,0.209745389082833,-5.12783886015398,0.244716365242069,-0.164735700547307,-0.776521907208465
"band_6",1,0.21282958572945,-5.14618027499229,0.245806891424043,-0.165451821426759,-0.776426605212612
"band_7",1,0.213053664515823,-5.31365869000773,0.751836193392669,-0.783217169419286,-0.167016527743687
"band_8",1,0.219489123380753,-5.32530586769424,0.752641792840651,-0.781038122034985,-0.167244622002601
"band_9",1,0.194382356570648,-0.168764398058279,0.726419901097098,-0.787245912655713,-5.39471185433077
"band_10",1,0.229079475486565,-5.37657193585426,0.247878368125216,-0.16894369899143,-0.787464883655427
"band_11",1,0.276882974568368,-5.40245371524982,0.236499534563737,-0.178850044831084,-0.833512107344844
"band_12",1,0.151897712428278,-0.18591519170704,0.642467609915355,-0.879243093034799,-5.3209270211909
"band_13",1,0.110979601879455,-0.214409006604661,0.39954162862008,-5.20316573712462,-1.04629595663667
