"","c 1","c 2","c 3","c 4","c 5","c 6"
"band_1",1,0.314493504356451,-7.3508313074178,0.215007902596458,-0.167621436606283,-0.888438918828146
"band_2",1,0.536387473793274,-0.881042299277147,0.685132609796627,-6.94362465314748,-0.166542006879515
"band_3",1,0.317915701822009,-6.65090601204537,0.210494756201913,-0.165915630346695,-0.879518494031071
"band_4",1,0.140373698650031,-0.164416697151982,0.626176748647623,-0.875426270124892,-6.15884865572604
"band_5",1,0.322199585798041,-6.03468892930846,0.206377916433166,-0.164480839421096,-0.875750374178954
"band_6",1,0.540284506275835,-0.880885311425569,0.303472449866546,-0.165073719242015,-5.96693609332128
"band_7",1,0.324282269752375,-5.72931656736033,0.797436189695276,-0.874608984065398,-0.164147286635052
"band_8",1,0.135855971639688,-0.164388990762965,0.625988801902976,-0.877091088295024,-5.63401549709574
"band_9",1,0.324267855033957,-5.55181563031703,0.800487993997048,-0.876835520324259,-0.164285818042667
"band_10",1,0.133060259797065,-0.164439486818982,0.371095266104409,-5.44344615057788,-0.87963762047966
"band_11",1,0.322203194030441,-4.6949366772806,0.818654712788351,-0.87970105574983,-0.166388503229
"band_12",1,0.321080023862023,-4.41920285555928,0.17393293282323,-0.168063078708866,-0.881632598123724
"band_13",1,0.323050377179312,-4.21336793566779,0.838670158247783,-0.914079949063654,-0.184796467002641
