"","c 1","c 2","c 3","c 4","c 5","c 6"
"band_1",1,0.603785899469445,-0.773500441617296,0.544621723916808,-4.57823106512279,-0.162421662559938
"band_2",1,0.209731926879158,-4.70809119794026,0.766957978707174,-0.777984035171603,-0.163008453549082
"band_3",1,0.199872315030908,-5.15511638657784,0.759097439302097,-0.790855644693517,-0.166090634431642
"band_4",1,0.192600804698139,-0.164814497649452,0.742874247877577,-0.777130156296371,-5.13333200786719
"band_5",1,0.221021704147523,-5.37846549795564,0.751701938598503,-0.785294823631604,-0.168213687972623
"band_6",1,0.302927126067465,-5.32744782598466,0.781759891105911,-0.881940108145012,-0.186484352877125
"band_7",1,0.534288751834045,-1.05177357282559,0.762239712134551,-5.20832914470849,-0.214646876568117
"band_8",1,0.605525213584781,-0.786492668915992,0.487872214326592,-0.165375353862231,-5.16445254239854
"band_9",1,0.550273513514754,-0.843494971004886,0.381947242661943,-0.180971570296571,-5.38964874345245
"band_10",1,0.602331834784561,-0.780428119160738,0.483560973421164,-0.165084356080574,-5.11008652150642
