"","c 1","c 2","c 3","c 4","c 5","c 6"
"band_1",1,0.537153258865796,-0.885744754280776,0.317348829495781,-0.167480165351994,-7.30556036226607
"band_2",1,0.315586344905551,-7.1399864787412,0.786096723425737,-0.884473111472063,-0.166988348528515
"band_3",1,0.331714781583506,-6.20724469127576,0.202403434047004,-0.158436967802156,-0.848292875241407
"band_4",1,0.324534694850858,-6.06495422295446,0.791910511591854,-0.870871430715748,-0.164587597685851
"band_5",1,0.324570941706752,-5.54414992201973,0.800093736692794,-0.87650582163954,-0.164221675717687
"band_6",1,0.319846026436351,-4.43827795474273,0.826115365648425,-0.88371865598798,-0.168287364854212
"band_7",1,0.574334405047557,-0.904663829507994,0.243732021178047,-0.178872418981669,-4.30878293124276
"band_8",1,0.539022230768565,-0.881132103904624,0.689376860543071,-6.64375085328937,-0.165552775036207
"band_9",1,0.122655188545921,-0.166662601982943,0.631285946988361,-0.878382671156733,-4.62900970748549
"band_10",1,0.329991830654426,-6.05968127100012,0.209166096856176,-0.16361190590895,-0.861164781788953
